name	scaffold	start	end	region	length	distance	reverse	length_ok	dis_ok	main
DPOGS210568	DPSCF300408	85880	94163	DPSCF300408:85880-94163	8283	0	rc	N/A	N/A	1
DPOGS212465	DPSCF300222	673034	677410	DPSCF300222:673034-677410	4376	578871	rc	Y	N	0
DPOGS212464	DPSCF300222	679317	688563	DPSCF300222:679317-688563	9246	585154	rc	Y	N	0
DPOGS212477	DPSCF300222	383135	389198	DPSCF300222:383135-389198	6063	288972	rc	Y	N	0
DPOGS212466	DPSCF300222	654692	658179	DPSCF300222:654692-658179	3487	560529	rc	N	N	0
DPOGS212481	DPSCF300222	309015	325849	DPSCF300222:309015-325849	16834	214852	rc	N	N	0
DPOGS212505	DPSCF300222	227136	227680	DPSCF300222:227136-227680	544	132973	f	N	N	0
DPOGS212476	DPSCF300222	389309	390541	DPSCF300222:389309-390541	1232	295146	rc	N	N	0
DPOGS212479	DPSCF300222	336631	337467	DPSCF300222:336631-337467	836	242468	rc	N	N	0
DPOGS212530	DPSCF300222	685377	691150	DPSCF300222:685377-691150	5773	591214	f	Y	N	0
DPOGS212507	DPSCF300222	238585	240989	DPSCF300222:238585-240989	2404	144422	f	N	N	0
DPOGS212467	DPSCF300222	625626	644769	DPSCF300222:625626-644769	19143	531463	rc	N	N	0
DPOGS212504	DPSCF300222	223181	223725	DPSCF300222:223181-223725	544	129018	f	N	N	0
DPOGS212473	DPSCF300222	475009	475131	DPSCF300222:475009-475131	122	380846	rc	N	N	0
DPOGS212492	DPSCF300222	25055	27256	DPSCF300222:25055-27256	2201	58624	f	N	N	0
DPOGS212463	DPSCF300222	698987	700807	DPSCF300222:698987-700807	1820	604824	rc	N	N	0
DPOGS212489	DPSCF300222	61893	119915	DPSCF300222:61893-119915	58022	23987	rc	N	Y	0
DPOGS212509	DPSCF300222	274543	276933	DPSCF300222:274543-276933	2390	180380	f	N	N	0
DPOGS212490	DPSCF300222	38658	44544	DPSCF300222:38658-44544	5886	41336	rc	Y	Y	0
DPOGS212517	DPSCF300222	474324	474734	DPSCF300222:474324-474734	410	380161	f	N	N	0
DPOGS212508	DPSCF300222	253812	254725	DPSCF300222:253812-254725	913	159649	f	N	N	0
DPOGS212472	DPSCF300222	476748	477143	DPSCF300222:476748-477143	395	382585	rc	N	N	0
DPOGS212488	DPSCF300222	124791	128524	DPSCF300222:124791-128524	3733	30628	rc	N	Y	0
DPOGS212506	DPSCF300222	232591	233180	DPSCF300222:232591-233180	589	138428	f	N	N	0
DPOGS212475	DPSCF300222	427283	436914	DPSCF300222:427283-436914	9631	333120	rc	Y	N	0
DPOGS212480	DPSCF300222	328989	329441	DPSCF300222:328989-329441	452	234826	rc	N	N	0
DPOGS212482	DPSCF300222	296052	299395	DPSCF300222:296052-299395	3343	201889	rc	N	N	0
DPOGS212527	DPSCF300222	605124	614543	DPSCF300222:605124-614543	9419	510961	f	Y	N	0
DPOGS212529	DPSCF300222	666990	669828	DPSCF300222:666990-669828	2838	572827	f	N	N	0
DPOGS212474	DPSCF300222	459805	465093	DPSCF300222:459805-465093	5288	365642	rc	Y	N	0
DPOGS212515	DPSCF300222	469904	470215	DPSCF300222:469904-470215	311	375741	f	N	N	0
DPOGS212468	DPSCF300222	542932	545796	DPSCF300222:542932-545796	2864	448769	rc	N	N	0
DPOGS212501	DPSCF300222	210250	213204	DPSCF300222:210250-213204	2954	116087	f	N	N	0
DPOGS212528	DPSCF300222	661662	666329	DPSCF300222:661662-666329	4667	567499	f	Y	N	0
DPOGS212500	DPSCF300222	203451	207000	DPSCF300222:203451-207000	3549	109288	f	N	N	0
DPOGS212487	DPSCF300222	133103	149466	DPSCF300222:133103-149466	16363	38940	rc	Y	Y	0
DPOGS212526	DPSCF300222	558451	562308	DPSCF300222:558451-562308	3857	464288	f	N	N	0
DPOGS212511	DPSCF300222	343733	344178	DPSCF300222:343733-344178	445	249570	f	N	N	0
DPOGS212524	DPSCF300222	517884	524371	DPSCF300222:517884-524371	6487	423721	f	Y	N	0
DPOGS212493	DPSCF300222	30410	31671	DPSCF300222:30410-31671	1261	54209	f	N	N	0
DPOGS212478	DPSCF300222	379131	381264	DPSCF300222:379131-381264	2133	284968	rc	N	N	0
DPOGS212516	DPSCF300222	471052	471438	DPSCF300222:471052-471438	386	376889	f	N	N	0
DPOGS212519	DPSCF300222	482450	485573	DPSCF300222:482450-485573	3123	388287	f	N	N	0
DPOGS212525	DPSCF300222	530437	540500	DPSCF300222:530437-540500	10063	436274	f	Y	N	0
DPOGS212522	DPSCF300222	504490	508958	DPSCF300222:504490-508958	4468	410327	f	Y	N	0
DPOGS212491	DPSCF300222	32168	34127	DPSCF300222:32168-34127	1959	51753	rc	N	N	0
DPOGS212502	DPSCF300222	213612	214165	DPSCF300222:213612-214165	553	119449	f	N	N	0
DPOGS212514	DPSCF300222	438780	458614	DPSCF300222:438780-458614	19834	344617	f	N	N	0
DPOGS212521	DPSCF300222	495095	498091	DPSCF300222:495095-498091	2996	400932	f	N	N	0
DPOGS212503	DPSCF300222	217360	217913	DPSCF300222:217360-217913	553	123197	f	N	N	0
DPOGS212471	DPSCF300222	478840	479250	DPSCF300222:478840-479250	410	384677	rc	N	N	0
DPOGS212523	DPSCF300222	513854	514498	DPSCF300222:513854-514498	644	419691	f	N	N	0
DPOGS212486	DPSCF300222	155971	156426	DPSCF300222:155971-156426	455	61808	rc	N	N	0
DPOGS212485	DPSCF300222	161813	162813	DPSCF300222:161813-162813	1000	67650	rc	N	N	0
DPOGS212512	DPSCF300222	344801	376098	DPSCF300222:344801-376098	31297	250638	f	N	N	0
DPOGS212499	DPSCF300222	198290	198979	DPSCF300222:198290-198979	689	104127	f	N	N	0
DPOGS212513	DPSCF300222	414841	423226	DPSCF300222:414841-423226	8385	320678	f	Y	N	0
DPOGS212470	DPSCF300222	524969	525115	DPSCF300222:524969-525115	146	430806	rc	N	N	0
DPOGS212494	DPSCF300222	121570	123363	DPSCF300222:121570-123363	1793	27407	f	N	Y	0
DPOGS212469	DPSCF300222	527116	529506	DPSCF300222:527116-529506	2390	432953	rc	N	N	0
DPOGS212497	DPSCF300222	157132	160356	DPSCF300222:157132-160356	3224	62969	f	N	N	0
DPOGS212498	DPSCF300222	163662	169068	DPSCF300222:163662-169068	5406	69499	f	Y	N	0
DPOGS212510	DPSCF300222	277258	290380	DPSCF300222:277258-290380	13122	183095	f	Y	N	0
DPOGS212483	DPSCF300222	255543	273869	DPSCF300222:255543-273869	18326	161380	rc	N	N	0
DPOGS212495	DPSCF300222	129994	130679	DPSCF300222:129994-130679	685	35831	f	N	Y	0
DPOGS212520	DPSCF300222	489906	490824	DPSCF300222:489906-490824	918	395743	f	N	N	0
DPOGS212496	DPSCF300222	154567	155713	DPSCF300222:154567-155713	1146	60404	f	N	N	0
DPOGS212484	DPSCF300222	169273	177558	DPSCF300222:169273-177558	8285	75110	rc	Y	N	0
DPOGS212518	DPSCF300222	478031	478417	DPSCF300222:478031-478417	386	383868	f	N	N	0
DPOGS205577	DPSCF300237	359229	359608	DPSCF300237:359229-359608	379	265066	rc	N	N	0
DPOGS205586	DPSCF300237	27054	41031	DPSCF300237:27054-41031	13977	44849	rc	Y	Y	0
DPOGS205590	DPSCF300237	187660	193584	DPSCF300237:187660-193584	5924	93497	f	Y	N	0
DPOGS205582	DPSCF300237	194560	199693	DPSCF300237:194560-199693	5133	100397	rc	Y	N	0
DPOGS205579	DPSCF300237	317355	340655	DPSCF300237:317355-340655	23300	223192	rc	N	N	0
DPOGS205580	DPSCF300237	292684	295781	DPSCF300237:292684-295781	3097	198521	rc	N	N	0
DPOGS205588	DPSCF300237	120322	121227	DPSCF300237:120322-121227	905	26159	f	N	Y	0
DPOGS205589	DPSCF300237	159975	172325	DPSCF300237:159975-172325	12350	65812	f	Y	N	0
DPOGS205581	DPSCF300237	201545	208624	DPSCF300237:201545-208624	7079	107382	rc	Y	N	0
DPOGS205592	DPSCF300237	352726	354499	DPSCF300237:352726-354499	1773	258563	f	N	N	0
DPOGS205578	DPSCF300237	354718	358598	DPSCF300237:354718-358598	3880	260555	rc	N	N	0
DPOGS205587	DPSCF300237	47921	51459	DPSCF300237:47921-51459	3538	34421	f	N	Y	0
DPOGS205583	DPSCF300237	175958	177656	DPSCF300237:175958-177656	1698	81795	rc	N	N	0
DPOGS205591	DPSCF300237	219396	222346	DPSCF300237:219396-222346	2950	125233	f	N	N	0
DPOGS205585	DPSCF300237	53451	85132	DPSCF300237:53451-85132	31681	748	rc	N	Y	0
DPOGS214549	DPSCF300266	160556	161202	DPSCF300266:160556-161202	646	66393	rc	N	N	0
DPOGS214548	DPSCF300266	163078	165374	DPSCF300266:163078-165374	2296	68915	rc	N	N	0
DPOGS214550	DPSCF300266	147162	154524	DPSCF300266:147162-154524	7362	52999	rc	Y	N	0
DPOGS214551	DPSCF300266	93389	136350	DPSCF300266:93389-136350	42961	774	rc	N	Y	0
DPOGS214564	DPSCF300266	214618	219386	DPSCF300266:214618-219386	4768	120455	f	Y	N	0
DPOGS214552	DPSCF300266	91252	92520	DPSCF300266:91252-92520	1268	1643	rc	N	Y	0
