name	scaffold	start	end	region	length	distance	reverse	length_ok	dis_ok	main
DPOGS200256	DPSCF300169	269853	270281	DPSCF300169:269853-270281	428	0	f	N/A	N/A	1
DPOGS200246	DPSCF300169	45957	47573	DPSCF300169:45957-47573	1616	222280	f	Y	N	0
DPOGS200255	DPSCF300169	260498	261793	DPSCF300169:260498-261793	1295	8060	f	Y	Y	0
DPOGS200253	DPSCF300169	167985	180131	DPSCF300169:167985-180131	12146	89722	f	N	N	0
DPOGS200241	DPSCF300169	39899	43690	DPSCF300169:39899-43690	3791	226163	rc	N	N	0
DPOGS200251	DPSCF300169	106863	110428	DPSCF300169:106863-110428	3565	159425	f	N	N	0
DPOGS200254	DPSCF300169	250134	258059	DPSCF300169:250134-258059	7925	11794	f	N	Y	0
DPOGS200231	DPSCF300169	262701	266333	DPSCF300169:262701-266333	3632	3520	rc	N	Y	0
DPOGS200247	DPSCF300169	71178	71948	DPSCF300169:71178-71948	770	197905	f	Y	N	0
DPOGS200234	DPSCF300169	148545	157649	DPSCF300169:148545-157649	9104	112204	rc	N	N	0
DPOGS200244	DPSCF300169	17708	19496	DPSCF300169:17708-19496	1788	250357	rc	Y	N	0
DPOGS200237	DPSCF300169	114401	116048	DPSCF300169:114401-116048	1647	153805	rc	Y	N	0
DPOGS200248	DPSCF300169	83685	86283	DPSCF300169:83685-86283	2598	183570	f	N	N	0
DPOGS200243	DPSCF300169	21841	23198	DPSCF300169:21841-23198	1357	246655	rc	Y	N	0
DPOGS200230	DPSCF300169	280010	280809	DPSCF300169:280010-280809	799	9729	rc	Y	Y	0
DPOGS200252	DPSCF300169	128015	130633	DPSCF300169:128015-130633	2618	139220	f	N	N	0
DPOGS200232	DPSCF300169	204544	212000	DPSCF300169:204544-212000	7456	57853	rc	N	N	0
DPOGS200235	DPSCF300169	136396	137190	DPSCF300169:136396-137190	794	132663	rc	Y	N	0
DPOGS200236	DPSCF300169	117622	118673	DPSCF300169:117622-118673	1051	151180	rc	Y	N	0
DPOGS200245	DPSCF300169	14474	15526	DPSCF300169:14474-15526	1052	254327	rc	Y	N	0
DPOGS200249	DPSCF300169	91180	93958	DPSCF300169:91180-93958	2778	175895	f	N	N	0
DPOGS200250	DPSCF300169	99008	100178	DPSCF300169:99008-100178	1170	169675	f	Y	N	0
DPOGS200238	DPSCF300169	74447	76347	DPSCF300169:74447-76347	1900	193506	rc	Y	N	0
DPOGS200240	DPSCF300169	51109	53027	DPSCF300169:51109-53027	1918	216826	rc	Y	N	0
DPOGS200239	DPSCF300169	57294	64750	DPSCF300169:57294-64750	7456	205103	rc	N	N	0
DPOGS200257	DPSCF300169	275770	278426	DPSCF300169:275770-278426	2656	5489	f	N	Y	0
DPOGS200242	DPSCF300169	26311	37588	DPSCF300169:26311-37588	11277	232265	rc	N	N	0
DPOGS200233	DPSCF300169	186774	195699	DPSCF300169:186774-195699	8925	74154	rc	N	N	0
