"New_ID"	"Class"	"Pathway"	"Gene"	"stat_value"	"percentile"	"T_std"	"outliers"
"1"	"DPOGS209813"	"Recognition"	"PGRP"	"PGRP-like_2"	0.025499	0.442139037433155	-0.23538874356833	0
"2"	"DPOGS209814"	"Recognition"	"PGRP"	"PGRP-like_6"	0.061435	0.85982174688057	0.685057982329362	0
"3"	"DPOGS212963"	"Recognition"	"BGRP"	"BGRP-like_1"	0.036466	0.624527629233512	0.045514507848633	0
"4"	"DPOGS215599"	"Recognition"	"BGRP"	"BGRP-like_2"	0.036198	0.619893048128342	0.0386500899239731	0
"5"	"DPOGS212940"	"Recognition"	"BGRP"	"BGRP-like_3"	0.135066	0.982602495543672	2.57100558013026	1
"6"	"DPOGS212941"	"Recognition"	"BGRP"	"BGRP-like_4"	0.035548	0.607415329768271	0.0220013151067008	0
"7"	"DPOGS212964"	"Recognition"	"BGRP"	"BGRP-like_5"	0.071975	0.918217468805704	0.955024269366363	0
"8"	"DPOGS212965"	"Recognition"	"BGRP"	"BGRP-like_6"	7.5e-05	0.0811408199643494	-0.886586360421149	0
"9"	"DPOGS210549"	"Recognition"	"SCR"	"Class_B_like_SCR_1"	0.044566	0.731764705882353	0.252983855571566	0
"10"	"DPOGS203180"	"Recognition"	"SCR"	"Class_B_like_SCR_2"	0.124541	0.977896613190731	2.30142349558904	1
"11"	"DPOGS202796"	"Recognition"	"SCR"	"Class_B_like_SCR_3"	0.053644	0.814545454545455	0.485503206019563	0
"12"	"DPOGS214397"	"Recognition"	"SCR"	"Other_SCR_1"	0.147687	0.985668449197861	2.89427356008225	1
"13"	"DPOGS213636"	"Recognition"	"SCR"	"Other_SCR_2"	0.025461	0.441354723707665	-0.236362056557647	0
"14"	"DPOGS212634"	"Recognition"	"SCR"	"Other_SCR_3"	0.056342	0.831657754010695	0.554608428261103	0
"15"	"DPOGS202826"	"Recognition"	"SCR"	"Other_SCR_4"	0.031667	0.545668449197861	-0.0774046773022747	0
"16"	"DPOGS215836"	"Recognition"	"TEP"	"TEP_like"	0.025494	0.44192513368984	-0.235516811066924	0
"17"	"DPOGS210251"	"Recognition"	"Nimrod"	"NIM-like_1"	0.017124	0.313868092691622	-0.449901803713955	0
"18"	"DPOGS210210"	"Recognition"	"Nimrod"	"NIM-like_2"	0.064102	0.873440285204991	0.753369186079616	0
"19"	"DPOGS210211"	"Recognition"	"Nimrod"	"NIM-like_3"	0.043015	0.713368983957219	0.213257317507582	0
"20"	"DPOGS204835"	"Modulation"	"CLIP_Serine_protease"	"CLIP-like_1"	0.049584	0.7825311942959	0.381512397160908	0
"21"	"DPOGS205231"	"Modulation"	"CLIP_Serine_protease"	"CLIP-like_2"	0.037112	0.634438502673797	0.0620608286670299	0
"22"	"DPOGS206561"	"Modulation"	"CLIP_Serine_protease"	"CLIP-like_3"	0.048889	0.77632798573975	0.363711014856286	0
"23"	"DPOGS215180"	"Modulation"	"CLIP_Serine_protease"	"CLIP-like_4"	0.00159	0.0920499108734403	-0.847781908347045	0
"24"	"DPOGS215181"	"Modulation"	"CLIP_Serine_protease"	"CLIP-like_5"	0.088756	0.950374331550802	1.3848444081489	0
"25"	"DPOGS206562"	"Modulation"	"CLIP_Serine_protease"	"CLIP-like_6"	0.048472	0.772263814616756	0.353030185473513	0
