"scaffold"	"geneID"	"ZorA"	"chromosome"
"DPOGS202638"	"DPSCF300039"	"DPOGS202638"	"A"	15
"DPOGS202643"	"DPSCF300039"	"DPOGS202643"	"A"	15
"DPOGS202661"	"DPSCF300039"	"DPOGS202661"	"A"	15
"DPOGS202681"	"DPSCF300039"	"DPOGS202681"	"A"	15
"DPOGS202670"	"DPSCF300039"	"DPOGS202670"	"A"	15
"DPOGS202682"	"DPSCF300039"	"DPOGS202682"	"A"	15
"DPOGS202644"	"DPSCF300039"	"DPOGS202644"	"A"	15
"DPOGS202659"	"DPSCF300039"	"DPOGS202659"	"A"	15
"DPOGS202637"	"DPSCF300039"	"DPOGS202637"	"A"	15
"DPOGS202656"	"DPSCF300039"	"DPOGS202656"	"A"	15
"DPOGS202680"	"DPSCF300039"	"DPOGS202680"	"A"	15
"DPOGS202671"	"DPSCF300039"	"DPOGS202671"	"A"	15
"DPOGS202673"	"DPSCF300039"	"DPOGS202673"	"A"	15
"DPOGS202653"	"DPSCF300039"	"DPOGS202653"	"A"	15
"DPOGS202675"	"DPSCF300039"	"DPOGS202675"	"A"	15
"DPOGS202679"	"DPSCF300039"	"DPOGS202679"	"A"	15
"DPOGS202663"	"DPSCF300039"	"DPOGS202663"	"A"	15
"DPOGS202654"	"DPSCF300039"	"DPOGS202654"	"A"	15
"DPOGS202640"	"DPSCF300039"	"DPOGS202640"	"A"	15
"DPOGS202666"	"DPSCF300039"	"DPOGS202666"	"A"	15
"DPOGS202676"	"DPSCF300039"	"DPOGS202676"	"A"	15
"DPOGS202664"	"DPSCF300039"	"DPOGS202664"	"A"	15
"DPOGS202667"	"DPSCF300039"	"DPOGS202667"	"A"	15
"DPOGS202674"	"DPSCF300039"	"DPOGS202674"	"A"	15
"DPOGS202649"	"DPSCF300039"	"DPOGS202649"	"A"	15
"DPOGS202669"	"DPSCF300039"	"DPOGS202669"	"A"	15
"DPOGS202647"	"DPSCF300039"	"DPOGS202647"	"A"	15
"DPOGS202668"	"DPSCF300039"	"DPOGS202668"	"A"	15
"DPOGS202651"	"DPSCF300039"	"DPOGS202651"	"A"	15
"DPOGS202652"	"DPSCF300039"	"DPOGS202652"	"A"	15
"DPOGS202646"	"DPSCF300039"	"DPOGS202646"	"A"	15
"DPOGS202665"	"DPSCF300039"	"DPOGS202665"	"A"	15
"DPOGS202655"	"DPSCF300039"	"DPOGS202655"	"A"	15
"DPOGS202677"	"DPSCF300039"	"DPOGS202677"	"A"	15
"DPOGS202650"	"DPSCF300039"	"DPOGS202650"	"A"	15
"DPOGS202645"	"DPSCF300039"	"DPOGS202645"	"A"	15
"DPOGS202660"	"DPSCF300039"	"DPOGS202660"	"A"	15
"DPOGS202678"	"DPSCF300039"	"DPOGS202678"	"A"	15
"DPOGS202657"	"DPSCF300039"	"DPOGS202657"	"A"	15
"DPOGS202648"	"DPSCF300039"	"DPOGS202648"	"A"	15
"DPOGS202641"	"DPSCF300039"	"DPOGS202641"	"A"	15
"DPOGS202658"	"DPSCF300039"	"DPOGS202658"	"A"	15
