"scaffold"	"geneID"	"ZorA"	"chromosome"
"DPOGS214731"	"DPSCF300022"	"DPOGS214731"	"A"	18
"DPOGS214746"	"DPSCF300022"	"DPOGS214746"	"A"	18
"DPOGS214704"	"DPSCF300022"	"DPOGS214704"	"A"	18
"DPOGS214733"	"DPSCF300022"	"DPOGS214733"	"A"	18
"DPOGS214734"	"DPSCF300022"	"DPOGS214734"	"A"	18
"DPOGS214713"	"DPSCF300022"	"DPOGS214713"	"A"	18
"DPOGS214732"	"DPSCF300022"	"DPOGS214732"	"A"	18
"DPOGS214730"	"DPSCF300022"	"DPOGS214730"	"A"	18
"DPOGS214703"	"DPSCF300022"	"DPOGS214703"	"A"	18
"DPOGS214716"	"DPSCF300022"	"DPOGS214716"	"A"	18
"DPOGS214717"	"DPSCF300022"	"DPOGS214717"	"A"	18
"DPOGS214706"	"DPSCF300022"	"DPOGS214706"	"A"	18
"DPOGS214719"	"DPSCF300022"	"DPOGS214719"	"A"	18
"DPOGS214720"	"DPSCF300022"	"DPOGS214720"	"A"	18
"DPOGS214742"	"DPSCF300022"	"DPOGS214742"	"A"	18
"DPOGS214718"	"DPSCF300022"	"DPOGS214718"	"A"	18
"DPOGS214779"	"DPSCF300022"	"DPOGS214779"	"A"	18
"DPOGS214729"	"DPSCF300022"	"DPOGS214729"	"A"	18
"DPOGS214777"	"DPSCF300022"	"DPOGS214777"	"A"	18
"DPOGS214778"	"DPSCF300022"	"DPOGS214778"	"A"	18
"DPOGS214736"	"DPSCF300022"	"DPOGS214736"	"A"	18
"DPOGS214780"	"DPSCF300022"	"DPOGS214780"	"A"	18
"DPOGS214781"	"DPSCF300022"	"DPOGS214781"	"A"	18
"DPOGS214712"	"DPSCF300022"	"DPOGS214712"	"A"	18
"DPOGS214757"	"DPSCF300022"	"DPOGS214757"	"A"	18
"DPOGS214702"	"DPSCF300022"	"DPOGS214702"	"A"	18
"DPOGS214711"	"DPSCF300022"	"DPOGS214711"	"A"	18
"DPOGS214701"	"DPSCF300022"	"DPOGS214701"	"A"	18
