"scaffold"	"geneID"	"ZorA"	"chromosome"
"DPOGS202553"	"DPSCF300355"	"DPOGS202553"	"A"	25
"DPOGS202557"	"DPSCF300355"	"DPOGS202557"	"A"	25
"DPOGS202566"	"DPSCF300355"	"DPOGS202566"	"A"	25
"DPOGS202554"	"DPSCF300355"	"DPOGS202554"	"A"	25
"DPOGS202563"	"DPSCF300355"	"DPOGS202563"	"A"	25
"DPOGS202552"	"DPSCF300355"	"DPOGS202552"	"A"	25
"DPOGS202565"	"DPSCF300355"	"DPOGS202565"	"A"	25
"DPOGS202572"	"DPSCF300355"	"DPOGS202572"	"A"	25
"DPOGS202551"	"DPSCF300355"	"DPOGS202551"	"A"	25
"DPOGS202559"	"DPSCF300355"	"DPOGS202559"	"A"	25
"DPOGS202573"	"DPSCF300355"	"DPOGS202573"	"A"	25
"DPOGS202570"	"DPSCF300355"	"DPOGS202570"	"A"	25
"DPOGS202556"	"DPSCF300355"	"DPOGS202556"	"A"	25
"DPOGS202583"	"DPSCF300355"	"DPOGS202583"	"A"	25
"DPOGS202580"	"DPSCF300355"	"DPOGS202580"	"A"	25
"DPOGS202560"	"DPSCF300355"	"DPOGS202560"	"A"	25
"DPOGS202555"	"DPSCF300355"	"DPOGS202555"	"A"	25
"DPOGS202582"	"DPSCF300355"	"DPOGS202582"	"A"	25
"DPOGS202558"	"DPSCF300355"	"DPOGS202558"	"A"	25
"DPOGS202574"	"DPSCF300355"	"DPOGS202574"	"A"	25
"DPOGS202576"	"DPSCF300355"	"DPOGS202576"	"A"	25
"DPOGS202579"	"DPSCF300355"	"DPOGS202579"	"A"	25
"DPOGS202571"	"DPSCF300355"	"DPOGS202571"	"A"	25
"DPOGS202581"	"DPSCF300355"	"DPOGS202581"	"A"	25
"DPOGS202575"	"DPSCF300355"	"DPOGS202575"	"A"	25
"DPOGS202562"	"DPSCF300355"	"DPOGS202562"	"A"	25
"DPOGS202569"	"DPSCF300355"	"DPOGS202569"	"A"	25
"DPOGS202578"	"DPSCF300355"	"DPOGS202578"	"A"	25
"DPOGS202561"	"DPSCF300355"	"DPOGS202561"	"A"	25
"DPOGS202577"	"DPSCF300355"	"DPOGS202577"	"A"	25
