"scaffold"	"geneID"	"ZorA"	"chromosome"
"DPOGS200246"	"DPSCF300169"	"DPOGS200246"	"A"	23
"DPOGS200255"	"DPSCF300169"	"DPOGS200255"	"A"	23
"DPOGS200253"	"DPSCF300169"	"DPOGS200253"	"A"	23
"DPOGS200241"	"DPSCF300169"	"DPOGS200241"	"A"	23
"DPOGS200251"	"DPSCF300169"	"DPOGS200251"	"A"	23
"DPOGS200254"	"DPSCF300169"	"DPOGS200254"	"A"	23
"DPOGS200231"	"DPSCF300169"	"DPOGS200231"	"A"	23
"DPOGS200247"	"DPSCF300169"	"DPOGS200247"	"A"	23
"DPOGS200234"	"DPSCF300169"	"DPOGS200234"	"A"	23
"DPOGS200244"	"DPSCF300169"	"DPOGS200244"	"A"	23
"DPOGS200237"	"DPSCF300169"	"DPOGS200237"	"A"	23
"DPOGS200248"	"DPSCF300169"	"DPOGS200248"	"A"	23
"DPOGS200243"	"DPSCF300169"	"DPOGS200243"	"A"	23
"DPOGS200230"	"DPSCF300169"	"DPOGS200230"	"A"	23
"DPOGS200252"	"DPSCF300169"	"DPOGS200252"	"A"	23
"DPOGS200232"	"DPSCF300169"	"DPOGS200232"	"A"	23
"DPOGS200235"	"DPSCF300169"	"DPOGS200235"	"A"	23
"DPOGS200236"	"DPSCF300169"	"DPOGS200236"	"A"	23
"DPOGS200245"	"DPSCF300169"	"DPOGS200245"	"A"	23
"DPOGS200249"	"DPSCF300169"	"DPOGS200249"	"A"	23
"DPOGS200250"	"DPSCF300169"	"DPOGS200250"	"A"	23
"DPOGS200238"	"DPSCF300169"	"DPOGS200238"	"A"	23
"DPOGS200240"	"DPSCF300169"	"DPOGS200240"	"A"	23
"DPOGS200239"	"DPSCF300169"	"DPOGS200239"	"A"	23
"DPOGS200257"	"DPSCF300169"	"DPOGS200257"	"A"	23
"DPOGS200242"	"DPSCF300169"	"DPOGS200242"	"A"	23
"DPOGS200233"	"DPSCF300169"	"DPOGS200233"	"A"	23
