"scaffold"	"geneID"	"ZorA"	"chromosome"
"DPOGS211467"	"DPSCF300113"	"DPOGS211467"	"A"	5
"DPOGS211468"	"DPSCF300113"	"DPOGS211468"	"A"	5
"DPOGS211469"	"DPSCF300113"	"DPOGS211469"	"A"	5
"DPOGS211488"	"DPSCF300113"	"DPOGS211488"	"A"	5
"DPOGS211489"	"DPSCF300113"	"DPOGS211489"	"A"	5
"DPOGS211481"	"DPSCF300113"	"DPOGS211481"	"A"	5
"DPOGS211473"	"DPSCF300113"	"DPOGS211473"	"A"	5
"DPOGS211480"	"DPSCF300113"	"DPOGS211480"	"A"	5
"DPOGS211490"	"DPSCF300113"	"DPOGS211490"	"A"	5
"DPOGS211478"	"DPSCF300113"	"DPOGS211478"	"A"	5
"DPOGS211479"	"DPSCF300113"	"DPOGS211479"	"A"	5
"DPOGS211476"	"DPSCF300113"	"DPOGS211476"	"A"	5
"DPOGS211492"	"DPSCF300113"	"DPOGS211492"	"A"	5
"DPOGS211491"	"DPSCF300113"	"DPOGS211491"	"A"	5
"DPOGS211477"	"DPSCF300113"	"DPOGS211477"	"A"	5
"DPOGS211483"	"DPSCF300113"	"DPOGS211483"	"A"	5
"DPOGS211475"	"DPSCF300113"	"DPOGS211475"	"A"	5
"DPOGS211484"	"DPSCF300113"	"DPOGS211484"	"A"	5
"DPOGS211470"	"DPSCF300113"	"DPOGS211470"	"A"	5
"DPOGS211482"	"DPSCF300113"	"DPOGS211482"	"A"	5
"DPOGS211471"	"DPSCF300113"	"DPOGS211471"	"A"	5
"DPOGS211474"	"DPSCF300113"	"DPOGS211474"	"A"	5
"DPOGS211486"	"DPSCF300113"	"DPOGS211486"	"A"	5
