"scaffold"	"geneID"	"ZorA"	"chromosome"
"DPOGS208147"	"DPSCF300058"	"DPOGS208147"	"A"	22
"DPOGS208159"	"DPSCF300058"	"DPOGS208159"	"A"	22
"DPOGS208153"	"DPSCF300058"	"DPOGS208153"	"A"	22
"DPOGS208160"	"DPSCF300058"	"DPOGS208160"	"A"	22
"DPOGS208155"	"DPSCF300058"	"DPOGS208155"	"A"	22
"DPOGS208148"	"DPSCF300058"	"DPOGS208148"	"A"	22
"DPOGS208156"	"DPSCF300058"	"DPOGS208156"	"A"	22
"DPOGS208158"	"DPSCF300058"	"DPOGS208158"	"A"	22
"DPOGS208164"	"DPSCF300058"	"DPOGS208164"	"A"	22
"DPOGS208154"	"DPSCF300058"	"DPOGS208154"	"A"	22
"DPOGS208163"	"DPSCF300058"	"DPOGS208163"	"A"	22
"DPOGS208152"	"DPSCF300058"	"DPOGS208152"	"A"	22
"DPOGS208161"	"DPSCF300058"	"DPOGS208161"	"A"	22
"DPOGS208150"	"DPSCF300058"	"DPOGS208150"	"A"	22
"DPOGS208149"	"DPSCF300058"	"DPOGS208149"	"A"	22
"DPOGS208165"	"DPSCF300058"	"DPOGS208165"	"A"	22
"DPOGS208151"	"DPSCF300058"	"DPOGS208151"	"A"	22
"DPOGS208157"	"DPSCF300058"	"DPOGS208157"	"A"	22
"DPOGS202355"	"DPSCF300104"	"DPOGS202355"	"A"	22
"DPOGS202354"	"DPSCF300104"	"DPOGS202354"	"A"	22
"DPOGS202367"	"DPSCF300104"	"DPOGS202367"	"A"	22
"DPOGS202356"	"DPSCF300104"	"DPOGS202356"	"A"	22
"DPOGS202378"	"DPSCF300104"	"DPOGS202378"	"A"	22
"DPOGS202366"	"DPSCF300104"	"DPOGS202366"	"A"	22
"DPOGS202386"	"DPSCF300104"	"DPOGS202386"	"A"	22
"DPOGS202387"	"DPSCF300104"	"DPOGS202387"	"A"	22
"DPOGS202353"	"DPSCF300104"	"DPOGS202353"	"A"	22
