"scaffold"	"geneID"	"ZorA"	"chromosome"
"DPOGS215105"	"DPSCF300139"	"DPOGS215105"	"A"	29
"DPOGS215117"	"DPSCF300139"	"DPOGS215117"	"A"	29
"DPOGS215102"	"DPSCF300139"	"DPOGS215102"	"A"	29
"DPOGS215116"	"DPSCF300139"	"DPOGS215116"	"A"	29
"DPOGS215099"	"DPSCF300139"	"DPOGS215099"	"A"	29
"DPOGS215118"	"DPSCF300139"	"DPOGS215118"	"A"	29
"DPOGS215115"	"DPSCF300139"	"DPOGS215115"	"A"	29
"DPOGS215114"	"DPSCF300139"	"DPOGS215114"	"A"	29
"DPOGS215120"	"DPSCF300139"	"DPOGS215120"	"A"	29
"DPOGS215100"	"DPSCF300139"	"DPOGS215100"	"A"	29
"DPOGS215097"	"DPSCF300139"	"DPOGS215097"	"A"	29
"DPOGS215109"	"DPSCF300139"	"DPOGS215109"	"A"	29
"DPOGS215111"	"DPSCF300139"	"DPOGS215111"	"A"	29
"DPOGS215103"	"DPSCF300139"	"DPOGS215103"	"A"	29
"DPOGS215104"	"DPSCF300139"	"DPOGS215104"	"A"	29
"DPOGS215101"	"DPSCF300139"	"DPOGS215101"	"A"	29
"DPOGS215108"	"DPSCF300139"	"DPOGS215108"	"A"	29
"DPOGS215112"	"DPSCF300139"	"DPOGS215112"	"A"	29
"DPOGS215113"	"DPSCF300139"	"DPOGS215113"	"A"	29
"DPOGS215096"	"DPSCF300139"	"DPOGS215096"	"A"	29
"DPOGS215119"	"DPSCF300139"	"DPOGS215119"	"A"	29
"DPOGS215095"	"DPSCF300139"	"DPOGS215095"	"A"	29
"DPOGS215110"	"DPSCF300139"	"DPOGS215110"	"A"	29
"DPOGS215106"	"DPSCF300139"	"DPOGS215106"	"A"	29
"DPOGS215107"	"DPSCF300139"	"DPOGS215107"	"A"	29
