"scaffold"	"geneID"	"ZorA"	"chromosome"
"DPOGS209270"	"DPSCF300111"	"DPOGS209270"	"A"	8
"DPOGS209249"	"DPSCF300111"	"DPOGS209249"	"A"	8
"DPOGS209252"	"DPSCF300111"	"DPOGS209252"	"A"	8
"DPOGS209258"	"DPSCF300111"	"DPOGS209258"	"A"	8
"DPOGS209257"	"DPSCF300111"	"DPOGS209257"	"A"	8
"DPOGS209263"	"DPSCF300111"	"DPOGS209263"	"A"	8
"DPOGS209268"	"DPSCF300111"	"DPOGS209268"	"A"	8
"DPOGS209261"	"DPSCF300111"	"DPOGS209261"	"A"	8
"DPOGS209256"	"DPSCF300111"	"DPOGS209256"	"A"	8
"DPOGS209271"	"DPSCF300111"	"DPOGS209271"	"A"	8
"DPOGS209247"	"DPSCF300111"	"DPOGS209247"	"A"	8
"DPOGS209255"	"DPSCF300111"	"DPOGS209255"	"A"	8
"DPOGS209260"	"DPSCF300111"	"DPOGS209260"	"A"	8
"DPOGS209259"	"DPSCF300111"	"DPOGS209259"	"A"	8
"DPOGS209267"	"DPSCF300111"	"DPOGS209267"	"A"	8
"DPOGS209251"	"DPSCF300111"	"DPOGS209251"	"A"	8
"DPOGS209266"	"DPSCF300111"	"DPOGS209266"	"A"	8
"DPOGS209250"	"DPSCF300111"	"DPOGS209250"	"A"	8
"DPOGS209246"	"DPSCF300111"	"DPOGS209246"	"A"	8
"DPOGS209253"	"DPSCF300111"	"DPOGS209253"	"A"	8
"DPOGS209262"	"DPSCF300111"	"DPOGS209262"	"A"	8
"DPOGS209254"	"DPSCF300111"	"DPOGS209254"	"A"	8
"DPOGS209265"	"DPSCF300111"	"DPOGS209265"	"A"	8
"DPOGS209245"	"DPSCF300111"	"DPOGS209245"	"A"	8
"DPOGS209269"	"DPSCF300111"	"DPOGS209269"	"A"	8
"DPOGS209248"	"DPSCF300111"	"DPOGS209248"	"A"	8
"DPOGS209264"	"DPSCF300111"	"DPOGS209264"	"A"	8
"DPOGS209244"	"DPSCF300111"	"DPOGS209244"	"A"	8
