"scaffold"	"geneID"	"ZorA"	"chromosome"
"DPOGS212104"	"DPSCF300038"	"DPOGS212104"	"A"	9
"DPOGS212120"	"DPSCF300038"	"DPOGS212120"	"A"	9
"DPOGS212161"	"DPSCF300038"	"DPOGS212161"	"A"	9
"DPOGS212092"	"DPSCF300038"	"DPOGS212092"	"A"	9
"DPOGS212090"	"DPSCF300038"	"DPOGS212090"	"A"	9
"DPOGS212160"	"DPSCF300038"	"DPOGS212160"	"A"	9
"DPOGS212102"	"DPSCF300038"	"DPOGS212102"	"A"	9
"DPOGS212119"	"DPSCF300038"	"DPOGS212119"	"A"	9
"DPOGS212121"	"DPSCF300038"	"DPOGS212121"	"A"	9
"DPOGS212085"	"DPSCF300038"	"DPOGS212085"	"A"	9
"DPOGS212100"	"DPSCF300038"	"DPOGS212100"	"A"	9
"DPOGS212145"	"DPSCF300038"	"DPOGS212145"	"A"	9
"DPOGS212132"	"DPSCF300038"	"DPOGS212132"	"A"	9
"DPOGS212094"	"DPSCF300038"	"DPOGS212094"	"A"	9
"DPOGS212158"	"DPSCF300038"	"DPOGS212158"	"A"	9
"DPOGS212170"	"DPSCF300038"	"DPOGS212170"	"A"	9
"DPOGS212118"	"DPSCF300038"	"DPOGS212118"	"A"	9
"DPOGS212144"	"DPSCF300038"	"DPOGS212144"	"A"	9
"DPOGS212087"	"DPSCF300038"	"DPOGS212087"	"A"	9
"DPOGS212114"	"DPSCF300038"	"DPOGS212114"	"A"	9
"DPOGS212101"	"DPSCF300038"	"DPOGS212101"	"A"	9
"DPOGS212131"	"DPSCF300038"	"DPOGS212131"	"A"	9
"DPOGS212159"	"DPSCF300038"	"DPOGS212159"	"A"	9
"DPOGS212089"	"DPSCF300038"	"DPOGS212089"	"A"	9
"DPOGS212091"	"DPSCF300038"	"DPOGS212091"	"A"	9
"DPOGS212082"	"DPSCF300038"	"DPOGS212082"	"A"	9
"DPOGS212124"	"DPSCF300038"	"DPOGS212124"	"A"	9
