"scaffold"	"geneID"	"ZorA"	"chromosome"
"DPOGS209788"	"DPSCF300117"	"DPOGS209788"	"A"	10
"DPOGS209790"	"DPSCF300117"	"DPOGS209790"	"A"	10
"DPOGS209837"	"DPSCF300117"	"DPOGS209837"	"A"	10
"DPOGS209787"	"DPSCF300117"	"DPOGS209787"	"A"	10
"DPOGS209792"	"DPSCF300117"	"DPOGS209792"	"A"	10
"DPOGS209829"	"DPSCF300117"	"DPOGS209829"	"A"	10
"DPOGS209797"	"DPSCF300117"	"DPOGS209797"	"A"	10
"DPOGS209786"	"DPSCF300117"	"DPOGS209786"	"A"	10
"DPOGS209828"	"DPSCF300117"	"DPOGS209828"	"A"	10
"DPOGS209841"	"DPSCF300117"	"DPOGS209841"	"A"	10
"DPOGS209848"	"DPSCF300117"	"DPOGS209848"	"A"	10
"DPOGS209832"	"DPSCF300117"	"DPOGS209832"	"A"	10
"DPOGS209794"	"DPSCF300117"	"DPOGS209794"	"A"	10
"DPOGS209791"	"DPSCF300117"	"DPOGS209791"	"A"	10
"DPOGS209783"	"DPSCF300117"	"DPOGS209783"	"A"	10
"DPOGS209815"	"DPSCF300117"	"DPOGS209815"	"A"	10
"DPOGS209793"	"DPSCF300117"	"DPOGS209793"	"A"	10
"DPOGS209835"	"DPSCF300117"	"DPOGS209835"	"A"	10
"DPOGS209822"	"DPSCF300117"	"DPOGS209822"	"A"	10
"DPOGS209804"	"DPSCF300117"	"DPOGS209804"	"A"	10
"DPOGS209840"	"DPSCF300117"	"DPOGS209840"	"A"	10
"DPOGS209784"	"DPSCF300117"	"DPOGS209784"	"A"	10
"DPOGS209803"	"DPSCF300117"	"DPOGS209803"	"A"	10
"DPOGS209802"	"DPSCF300117"	"DPOGS209802"	"A"	10
"DPOGS209847"	"DPSCF300117"	"DPOGS209847"	"A"	10
"DPOGS209836"	"DPSCF300117"	"DPOGS209836"	"A"	10
"DPOGS209834"	"DPSCF300117"	"DPOGS209834"	"A"	10
"DPOGS209789"	"DPSCF300117"	"DPOGS209789"	"A"	10
"DPOGS209782"	"DPSCF300117"	"DPOGS209782"	"A"	10
"DPOGS209821"	"DPSCF300117"	"DPOGS209821"	"A"	10
"DPOGS209806"	"DPSCF300117"	"DPOGS209806"	"A"	10
"DPOGS209831"	"DPSCF300117"	"DPOGS209831"	"A"	10
"DPOGS209844"	"DPSCF300117"	"DPOGS209844"	"A"	10
"DPOGS209846"	"DPSCF300117"	"DPOGS209846"	"A"	10
"DPOGS209796"	"DPSCF300117"	"DPOGS209796"	"A"	10
"DPOGS209816"	"DPSCF300117"	"DPOGS209816"	"A"	10
"DPOGS209800"	"DPSCF300117"	"DPOGS209800"	"A"	10
"DPOGS209838"	"DPSCF300117"	"DPOGS209838"	"A"	10
"DPOGS209785"	"DPSCF300117"	"DPOGS209785"	"A"	10
"DPOGS209781"	"DPSCF300117"	"DPOGS209781"	"A"	10
"DPOGS209825"	"DPSCF300117"	"DPOGS209825"	"A"	10
"DPOGS209824"	"DPSCF300117"	"DPOGS209824"	"A"	10
"DPOGS209833"	"DPSCF300117"	"DPOGS209833"	"A"	10
"DPOGS209845"	"DPSCF300117"	"DPOGS209845"	"A"	10
"DPOGS209842"	"DPSCF300117"	"DPOGS209842"	"A"	10
"DPOGS209811"	"DPSCF300117"	"DPOGS209811"	"A"	10
"DPOGS209807"	"DPSCF300117"	"DPOGS209807"	"A"	10
"DPOGS209799"	"DPSCF300117"	"DPOGS209799"	"A"	10
"DPOGS209839"	"DPSCF300117"	"DPOGS209839"	"A"	10
"DPOGS209843"	"DPSCF300117"	"DPOGS209843"	"A"	10
"DPOGS209805"	"DPSCF300117"	"DPOGS209805"	"A"	10
"DPOGS209820"	"DPSCF300117"	"DPOGS209820"	"A"	10
"DPOGS209817"	"DPSCF300117"	"DPOGS209817"	"A"	10
"DPOGS209826"	"DPSCF300117"	"DPOGS209826"	"A"	10
"DPOGS209812"	"DPSCF300117"	"DPOGS209812"	"A"	10
"DPOGS209798"	"DPSCF300117"	"DPOGS209798"	"A"	10
"DPOGS209818"	"DPSCF300117"	"DPOGS209818"	"A"	10
"DPOGS209849"	"DPSCF300117"	"DPOGS209849"	"A"	10
"DPOGS209823"	"DPSCF300117"	"DPOGS209823"	"A"	10
"DPOGS209827"	"DPSCF300117"	"DPOGS209827"	"A"	10
"DPOGS209819"	"DPSCF300117"	"DPOGS209819"	"A"	10
"DPOGS209830"	"DPSCF300117"	"DPOGS209830"	"A"	10
