"scaffold"	"geneID"	"ZorA"	"chromosome"
"DPOGS201681"	"DPSCF300103"	"DPOGS201681"	"A"	13
"DPOGS201673"	"DPSCF300103"	"DPOGS201673"	"A"	13
"DPOGS201679"	"DPSCF300103"	"DPOGS201679"	"A"	13
"DPOGS201674"	"DPSCF300103"	"DPOGS201674"	"A"	13
"DPOGS201675"	"DPSCF300103"	"DPOGS201675"	"A"	13
"DPOGS201670"	"DPSCF300103"	"DPOGS201670"	"A"	13
"DPOGS201665"	"DPSCF300103"	"DPOGS201665"	"A"	13
"DPOGS201671"	"DPSCF300103"	"DPOGS201671"	"A"	13
"DPOGS201683"	"DPSCF300103"	"DPOGS201683"	"A"	13
"DPOGS201676"	"DPSCF300103"	"DPOGS201676"	"A"	13
"DPOGS201661"	"DPSCF300103"	"DPOGS201661"	"A"	13
"DPOGS201680"	"DPSCF300103"	"DPOGS201680"	"A"	13
"DPOGS201677"	"DPSCF300103"	"DPOGS201677"	"A"	13
"DPOGS201660"	"DPSCF300103"	"DPOGS201660"	"A"	13
"DPOGS201682"	"DPSCF300103"	"DPOGS201682"	"A"	13
"DPOGS201663"	"DPSCF300103"	"DPOGS201663"	"A"	13
"DPOGS201667"	"DPSCF300103"	"DPOGS201667"	"A"	13
"DPOGS201669"	"DPSCF300103"	"DPOGS201669"	"A"	13
"DPOGS201664"	"DPSCF300103"	"DPOGS201664"	"A"	13
"DPOGS201659"	"DPSCF300103"	"DPOGS201659"	"A"	13
"DPOGS201668"	"DPSCF300103"	"DPOGS201668"	"A"	13
"DPOGS201672"	"DPSCF300103"	"DPOGS201672"	"A"	13
"DPOGS201662"	"DPSCF300103"	"DPOGS201662"	"A"	13
"DPOGS201666"	"DPSCF300103"	"DPOGS201666"	"A"	13
