name	scaffold	start	end	region	length	distance	reverse	length_ok	dis_ok	main
DPOGS202662	DPSCF300039	115766	122287	DPSCF300039:115766-122287	6521	0	f	N/A	N/A	1
DPOGS202638	DPSCF300039	788438	804187	DPSCF300039:788438-804187	15749	666151	rc	N	N	0
DPOGS202643	DPSCF300039	648678	651740	DPSCF300039:648678-651740	3062	526391	rc	N	N	0
DPOGS202661	DPSCF300039	85123	102015	DPSCF300039:85123-102015	16892	13751	f	N	Y	0
DPOGS202681	DPSCF300039	824604	825142	DPSCF300039:824604-825142	538	702317	f	N	N	0
DPOGS202670	DPSCF300039	445163	463164	DPSCF300039:445163-463164	18001	322876	f	N	N	0
DPOGS202682	DPSCF300039	828918	829456	DPSCF300039:828918-829456	538	706631	f	N	N	0
DPOGS202644	DPSCF300039	614391	625549	DPSCF300039:614391-625549	11158	492104	rc	Y	N	0
DPOGS202659	DPSCF300039	40789	74974	DPSCF300039:40789-74974	34185	40792	rc	N	Y	0
DPOGS202637	DPSCF300039	818104	819592	DPSCF300039:818104-819592	1488	695817	rc	N	N	0
DPOGS202656	DPSCF300039	137231	138789	DPSCF300039:137231-138789	1558	14944	rc	N	Y	0
DPOGS202680	DPSCF300039	813240	817647	DPSCF300039:813240-817647	4407	690953	f	Y	N	0
DPOGS202671	DPSCF300039	469519	472782	DPSCF300039:469519-472782	3263	347232	f	Y	N	0
DPOGS202673	DPSCF300039	612352	613539	DPSCF300039:612352-613539	1187	490065	f	N	N	0
DPOGS202653	DPSCF300039	169381	169593	DPSCF300039:169381-169593	212	47094	rc	N	Y	0
DPOGS202675	DPSCF300039	659408	679872	DPSCF300039:659408-679872	20464	537121	f	N	N	0
DPOGS202679	DPSCF300039	807938	810143	DPSCF300039:807938-810143	2205	685651	f	N	N	0
DPOGS202663	DPSCF300039	135214	136851	DPSCF300039:135214-136851	1637	12927	f	N	Y	0
DPOGS202654	DPSCF300039	154613	167714	DPSCF300039:154613-167714	13101	32326	rc	N	Y	0
DPOGS202640	DPSCF300039	748077	755040	DPSCF300039:748077-755040	6963	625790	rc	Y	N	0
DPOGS202666	DPSCF300039	309531	310534	DPSCF300039:309531-310534	1003	187244	f	N	N	0
DPOGS202676	DPSCF300039	705361	709850	DPSCF300039:705361-709850	4489	583074	f	Y	N	0
DPOGS202664	DPSCF300039	139559	142211	DPSCF300039:139559-142211	2652	17272	f	N	Y	0
DPOGS202667	DPSCF300039	319612	319731	DPSCF300039:319612-319731	119	197325	f	N	N	0
DPOGS202674	DPSCF300039	643767	647798	DPSCF300039:643767-647798	4031	521480	f	Y	N	0
DPOGS202649	DPSCF300039	358308	359673	DPSCF300039:358308-359673	1365	236021	rc	N	N	0
DPOGS202669	DPSCF300039	420116	433310	DPSCF300039:420116-433310	13194	297829	f	N	N	0
DPOGS202647	DPSCF300039	507924	520116	DPSCF300039:507924-520116	12192	385637	rc	Y	N	0
DPOGS202668	DPSCF300039	396182	397191	DPSCF300039:396182-397191	1009	273895	f	N	N	0
DPOGS202651	DPSCF300039	184166	229168	DPSCF300039:184166-229168	45002	61879	rc	N	N	0
DPOGS202652	DPSCF300039	169806	170135	DPSCF300039:169806-170135	329	47519	rc	N	Y	0
DPOGS202646	DPSCF300039	572388	576095	DPSCF300039:572388-576095	3707	450101	rc	Y	N	0
DPOGS202665	DPSCF300039	171938	181535	DPSCF300039:171938-181535	9597	49651	f	Y	Y	0
DPOGS202655	DPSCF300039	148187	148579	DPSCF300039:148187-148579	392	25900	rc	N	Y	0
DPOGS202677	DPSCF300039	739985	746469	DPSCF300039:739985-746469	6484	617698	f	Y	N	0
DPOGS202650	DPSCF300039	287540	297632	DPSCF300039:287540-297632	10092	165253	rc	Y	N	0
DPOGS202645	DPSCF300039	576117	601920	DPSCF300039:576117-601920	25803	453830	rc	N	N	0
DPOGS202660	DPSCF300039	29839	30560	DPSCF300039:29839-30560	721	85206	f	N	N	0
DPOGS202678	DPSCF300039	766381	786834	DPSCF300039:766381-786834	20453	644094	f	N	N	0
DPOGS202657	DPSCF300039	124255	133544	DPSCF300039:124255-133544	9289	1968	rc	Y	Y	0
DPOGS202648	DPSCF300039	362118	384917	DPSCF300039:362118-384917	22799	239831	rc	N	N	0
DPOGS202641	DPSCF300039	712705	715568	DPSCF300039:712705-715568	2863	590418	rc	N	N	0
DPOGS202658	DPSCF300039	102667	107972	DPSCF300039:102667-107972	5305	7794	rc	Y	Y	0
