Gene_ID	Class	Pathway	Gene_name
DPOGS209813	Recognition	PGRP	PGRP-like_2
DPOGS209814	Recognition	PGRP	PGRP-like_6
DPOGS212963	Recognition	BGRP	BGRP-like_1
DPOGS215599	Recognition	BGRP	BGRP-like_2
DPOGS212940	Recognition	BGRP	BGRP-like_3
DPOGS212941	Recognition	BGRP	BGRP-like_4
DPOGS212964	Recognition	BGRP	BGRP-like_5
DPOGS212965	Recognition	BGRP	BGRP-like_6
DPOGS210549	Recognition	SCR	Class_B_like_SCR_1
DPOGS203180	Recognition	SCR	Class_B_like_SCR_2
DPOGS202796	Recognition	SCR	Class_B_like_SCR_3
DPOGS214397	Recognition	SCR	Other_SCR_1
DPOGS213636	Recognition	SCR	Other_SCR_2
DPOGS212634	Recognition	SCR	Other_SCR_3
DPOGS202826	Recognition	SCR	Other_SCR_4
DPOGS215836	Recognition	TEP	TEP_like
DPOGS210251	Recognition	Nimrod	NIM-like_1
DPOGS210210	Recognition	Nimrod	NIM-like_2
DPOGS210211	Recognition	Nimrod	NIM-like_3
DPOGS204835	Modulation	CLIP_Serine_protease	CLIP-like_1
DPOGS205231	Modulation	CLIP_Serine_protease	CLIP-like_2
DPOGS206561	Modulation	CLIP_Serine_protease	CLIP-like_3
DPOGS215180	Modulation	CLIP_Serine_protease	CLIP-like_4
DPOGS215181	Modulation	CLIP_Serine_protease	CLIP-like_5
DPOGS206562	Modulation	CLIP_Serine_protease	CLIP-like_6
DPOGS206563	Modulation	CLIP_Serine_protease	CLIP-like_7
DPOGS213841	Modulation	CLIP_Serine_protease	CLIP-like_8
DPOGS215183	Modulation	CLIP_Serine_protease	CLIP-like_9
DPOGS215188	Modulation	CLIP_Serine_protease	CLIP-like_10
DPOGS204146	Modulation	CLIP_Serine_protease	CLIP-like_11
DPOGS204147	Modulation	CLIP_Serine_protease	CLIP-like_12
DPOGS201678	Modulation	CLIP_Serine_protease	CLIP-like_13
DPOGS215220	Modulation	CLIP_Serine_protease	CLIP-like_14
DPOGS215098	Modulation	CLIP_Serine_protease	CLIP-like_15
DPOGS208169	Modulation	CLIP_Serine_protease	CLIP-like_16
DPOGS201966	Modulation	CLIP_Serine_protease	CLIP-like_17
DPOGS215182	Modulation	CLIP_Serine_protease	CLIP-like_18
DPOGS211355	Modulation	CLIP_Serine_protease	CLIP-like_19
DPOGS203664	Modulation	CLIP_Serine_protease	CLIP-like_20
DPOGS210568	Modulation	CLIP_Serine_protease	CLIP-like_21
DPOGS214570	Modulation	CLIP_Serine_protease	CLIP-like_22
DPOGS204148	Modulation	CLIP_Serine_protease	CLIP-like_23
DPOGS205210	Modulation	CLIP_Serine_protease	CLIP-like_24
DPOGS211237	Modulation	CLIP_Serine_protease	CLIP-like_25
DPOGS206224	Modulation	CLIP_Serine_protease	CLIP-like_26
DPOGS206217	Modulation	CLIP_Serine_protease	CLIP-like_27
DPOGS205206	Modulation	CLIP_Serine_protease	CLIP-like_28
DPOGS209809	Signalling	Toll	SPZ-like_1
DPOGS209810	Signalling	Toll	SPZ-like_2
DPOGS203200	Signalling	Toll	Toll_like-receptors_1
DPOGS205279	Signalling	Toll	Toll_like-receptors_2
DPOGS202626	Signalling	Toll	Toll_like-receptors_3
DPOGS205281	Signalling	Toll	Toll_like-receptors_4
DPOGS205295	Signalling	Toll	Toll_like-receptors_5
DPOGS205123	Signalling	Toll	Toll_like-receptors_6
DPOGS211472	Signalling	Toll	Toll_like-receptors_7
DPOGS200002	Signalling	Toll	Toll_like-receptors_8
DPOGS205283	Signalling	Toll	Toll_like-receptors_9
DPOGS215274	Signalling	Toll	Toll_like-receptors_10
DPOGS203198	Signalling	Toll	Toll_like-receptors_11
DPOGS205293	Signalling	Toll	Toll_like-receptors_12
DPOGS205296	Signalling	Toll	Toll_like-receptors_13
DPOGS207788	Signalling	Toll	Tollip
DPOGS205936	Signalling	Toll	MyD88
DPOGS208945	Signalling	Toll	Tube
DPOGS214647	Signalling	Toll	Pellino
DPOGS210260	Signalling	Toll	Pelle
DPOGS202662	Signalling	Toll	TRAF2
DPOGS209243	Signalling	Toll	ECSIT
DPOGS209453	Signalling	Toll	Cactus
DPOGS215778	Signalling	IMD	IMD
DPOGS200403	Signalling	IMD	TAK1
DPOGS202907	Signalling	IMD	IKKgamma
DPOGS202564	Signalling	IMD	IKKbeta
DPOGS207960	Signalling	IMD	FADD
DPOGS212093	Signalling	IMD	Dredd
DPOGS200977	Signalling	IMD	Tab2
DPOGS203759	Signalling	IMD	IAP2
DPOGS201405	Signalling	IMD	Ubc13
DPOGS208954	Signalling	JNK	Hem
DPOGS213169	Signalling	JNK	JNK
DPOGS214573	Signalling	JNK	Fos
DPOGS202887	Signalling	JNK	Jun
DPOGS214325	Signalling	JAK-STAT	PIAS
DPOGS214451	Signalling	JAK-STAT	SOCS
DPOGS200349	Signalling	JAK-STAT	DOMELESS
DPOGS210157	Signalling	JAK-STAT	Hopscotch
DPOGS212956	Signalling	JAK-STAT	Stat
DPOGS213997	Effector	AMP	Attacin-Like_1
DPOGS205720	Effector	AMP	Attacin-Like_2
DPOGS215451	Effector	AMP	Attacin-Like_3
DPOGS210270	Effector	AMP	Cecropin-like_1
DPOGS210268	Effector	AMP	Cecropin-like_2
DPOGS210269	Effector	AMP	Cecropin-like_3
DPOGS200256	Effector	AMP	Cecropin-like_4
DPOGS210271	Effector	AMP	Cecropin-like_5
DPOGS210265	Effector	AMP	Cecropin-like_6
DPOGS210304	Effector	AMP	Gloverin-like_1
DPOGS210303	Effector	AMP	Gloverin-like_2
DPOGS202093	Effector	NOS	NOS-like_1
DPOGS202094	Effector	NOS	NOS-like_2
DPOGS200017	Effector	PPO	PPO-like_4
