"scaffold"	"geneID"	"ZorA"	"chromosome"
"DPOGS212020"	"DPSCF300054"	"DPOGS212020"	"A"	20
"DPOGS212046"	"DPSCF300054"	"DPOGS212046"	"A"	20
"DPOGS212038"	"DPSCF300054"	"DPOGS212038"	"A"	20
"DPOGS212036"	"DPSCF300054"	"DPOGS212036"	"A"	20
"DPOGS212037"	"DPSCF300054"	"DPOGS212037"	"A"	20
"DPOGS212018"	"DPSCF300054"	"DPOGS212018"	"A"	20
"DPOGS212035"	"DPSCF300054"	"DPOGS212035"	"A"	20
"DPOGS212048"	"DPSCF300054"	"DPOGS212048"	"A"	20
"DPOGS212021"	"DPSCF300054"	"DPOGS212021"	"A"	20
"DPOGS212019"	"DPSCF300054"	"DPOGS212019"	"A"	20
"DPOGS212014"	"DPSCF300054"	"DPOGS212014"	"A"	20
"DPOGS212015"	"DPSCF300054"	"DPOGS212015"	"A"	20
"DPOGS212047"	"DPSCF300054"	"DPOGS212047"	"A"	20
"DPOGS212023"	"DPSCF300054"	"DPOGS212023"	"A"	20
"DPOGS212045"	"DPSCF300054"	"DPOGS212045"	"A"	20
"DPOGS212029"	"DPSCF300054"	"DPOGS212029"	"A"	20
"DPOGS212040"	"DPSCF300054"	"DPOGS212040"	"A"	20
"DPOGS212043"	"DPSCF300054"	"DPOGS212043"	"A"	20
"DPOGS212017"	"DPSCF300054"	"DPOGS212017"	"A"	20
"DPOGS212024"	"DPSCF300054"	"DPOGS212024"	"A"	20
"DPOGS212041"	"DPSCF300054"	"DPOGS212041"	"A"	20
"DPOGS212034"	"DPSCF300054"	"DPOGS212034"	"A"	20
"DPOGS212039"	"DPSCF300054"	"DPOGS212039"	"A"	20
"DPOGS212032"	"DPSCF300054"	"DPOGS212032"	"A"	20
"DPOGS212049"	"DPSCF300054"	"DPOGS212049"	"A"	20
"DPOGS212016"	"DPSCF300054"	"DPOGS212016"	"A"	20
"DPOGS212044"	"DPSCF300054"	"DPOGS212044"	"A"	20
"DPOGS212027"	"DPSCF300054"	"DPOGS212027"	"A"	20
"DPOGS212042"	"DPSCF300054"	"DPOGS212042"	"A"	20
"DPOGS212051"	"DPSCF300054"	"DPOGS212051"	"A"	20
"DPOGS212012"	"DPSCF300054"	"DPOGS212012"	"A"	20
"DPOGS212028"	"DPSCF300054"	"DPOGS212028"	"A"	20
"DPOGS212033"	"DPSCF300054"	"DPOGS212033"	"A"	20
"DPOGS212055"	"DPSCF300054"	"DPOGS212055"	"A"	20
"DPOGS212030"	"DPSCF300054"	"DPOGS212030"	"A"	20
"DPOGS212013"	"DPSCF300054"	"DPOGS212013"	"A"	20
"DPOGS212050"	"DPSCF300054"	"DPOGS212050"	"A"	20
"DPOGS212022"	"DPSCF300054"	"DPOGS212022"	"A"	20
"DPOGS212031"	"DPSCF300054"	"DPOGS212031"	"A"	20
"DPOGS212054"	"DPSCF300054"	"DPOGS212054"	"A"	20
"DPOGS212053"	"DPSCF300054"	"DPOGS212053"	"A"	20
"DPOGS212056"	"DPSCF300054"	"DPOGS212056"	"A"	20
"DPOGS212025"	"DPSCF300054"	"DPOGS212025"	"A"	20
"DPOGS212052"	"DPSCF300054"	"DPOGS212052"	"A"	20
"DPOGS212026"	"DPSCF300054"	"DPOGS212026"	"A"	20
"DPOGS214868"	"DPSCF300091"	"DPOGS214868"	"A"	20
"DPOGS214839"	"DPSCF300091"	"DPOGS214839"	"A"	20
"DPOGS214867"	"DPSCF300091"	"DPOGS214867"	"A"	20
"DPOGS214848"	"DPSCF300091"	"DPOGS214848"	"A"	20
"DPOGS214852"	"DPSCF300091"	"DPOGS214852"	"A"	20
"DPOGS214866"	"DPSCF300091"	"DPOGS214866"	"A"	20
"DPOGS214865"	"DPSCF300091"	"DPOGS214865"	"A"	20
"DPOGS214870"	"DPSCF300091"	"DPOGS214870"	"A"	20
"DPOGS214841"	"DPSCF300091"	"DPOGS214841"	"A"	20
"DPOGS214869"	"DPSCF300091"	"DPOGS214869"	"A"	20
"DPOGS214855"	"DPSCF300091"	"DPOGS214855"	"A"	20
"DPOGS214875"	"DPSCF300091"	"DPOGS214875"	"A"	20
"DPOGS214853"	"DPSCF300091"	"DPOGS214853"	"A"	20
"DPOGS214838"	"DPSCF300091"	"DPOGS214838"	"A"	20
"DPOGS214864"	"DPSCF300091"	"DPOGS214864"	"A"	20
"DPOGS214851"	"DPSCF300091"	"DPOGS214851"	"A"	20
"DPOGS214877"	"DPSCF300091"	"DPOGS214877"	"A"	20
"DPOGS214854"	"DPSCF300091"	"DPOGS214854"	"A"	20
