"scaffold"	"geneID"	"ZorA"	"chromosome"
"DPOGS200369"	"DPSCF300026"	"DPOGS200369"	"A"	8
"DPOGS200368"	"DPSCF300026"	"DPOGS200368"	"A"	8
"DPOGS200379"	"DPSCF300026"	"DPOGS200379"	"A"	8
"DPOGS200289"	"DPSCF300026"	"DPOGS200289"	"A"	8
"DPOGS200371"	"DPSCF300026"	"DPOGS200371"	"A"	8
"DPOGS200367"	"DPSCF300026"	"DPOGS200367"	"A"	8
"DPOGS200326"	"DPSCF300026"	"DPOGS200326"	"A"	8
"DPOGS200373"	"DPSCF300026"	"DPOGS200373"	"A"	8
"DPOGS200375"	"DPSCF300026"	"DPOGS200375"	"A"	8
"DPOGS200365"	"DPSCF300026"	"DPOGS200365"	"A"	8
"DPOGS200325"	"DPSCF300026"	"DPOGS200325"	"A"	8
"DPOGS200372"	"DPSCF300026"	"DPOGS200372"	"A"	8
"DPOGS200378"	"DPSCF300026"	"DPOGS200378"	"A"	8
"DPOGS200361"	"DPSCF300026"	"DPOGS200361"	"A"	8
"DPOGS200259"	"DPSCF300026"	"DPOGS200259"	"A"	8
"DPOGS200362"	"DPSCF300026"	"DPOGS200362"	"A"	8
"DPOGS200383"	"DPSCF300026"	"DPOGS200383"	"A"	8
"DPOGS200364"	"DPSCF300026"	"DPOGS200364"	"A"	8
"DPOGS200377"	"DPSCF300026"	"DPOGS200377"	"A"	8
"DPOGS200370"	"DPSCF300026"	"DPOGS200370"	"A"	8
"DPOGS200366"	"DPSCF300026"	"DPOGS200366"	"A"	8
"DPOGS200312"	"DPSCF300026"	"DPOGS200312"	"A"	8
"DPOGS200382"	"DPSCF300026"	"DPOGS200382"	"A"	8
"DPOGS200323"	"DPSCF300026"	"DPOGS200323"	"A"	8
"DPOGS200374"	"DPSCF300026"	"DPOGS200374"	"A"	8
"DPOGS200317"	"DPSCF300026"	"DPOGS200317"	"A"	8
"DPOGS200322"	"DPSCF300026"	"DPOGS200322"	"A"	8
"DPOGS200353"	"DPSCF300026"	"DPOGS200353"	"A"	8
"DPOGS200363"	"DPSCF300026"	"DPOGS200363"	"A"	8
