"scaffold"	"geneID"	"ZorA"	"chromosome"
"DPOGS212595"	"DPSCF300245"	"DPOGS212595"	"A"	4
"DPOGS212596"	"DPSCF300245"	"DPOGS212596"	"A"	4
"DPOGS212620"	"DPSCF300245"	"DPOGS212620"	"A"	4
"DPOGS212619"	"DPSCF300245"	"DPOGS212619"	"A"	4
"DPOGS212608"	"DPSCF300245"	"DPOGS212608"	"A"	4
"DPOGS212594"	"DPSCF300245"	"DPOGS212594"	"A"	4
"DPOGS212597"	"DPSCF300245"	"DPOGS212597"	"A"	4
"DPOGS212637"	"DPSCF300245"	"DPOGS212637"	"A"	4
"DPOGS212593"	"DPSCF300245"	"DPOGS212593"	"A"	4
"DPOGS212592"	"DPSCF300245"	"DPOGS212592"	"A"	4
"DPOGS212611"	"DPSCF300245"	"DPOGS212611"	"A"	4
"DPOGS212638"	"DPSCF300245"	"DPOGS212638"	"A"	4
"DPOGS212622"	"DPSCF300245"	"DPOGS212622"	"A"	4
"DPOGS212609"	"DPSCF300245"	"DPOGS212609"	"A"	4
"DPOGS212591"	"DPSCF300245"	"DPOGS212591"	"A"	4
"DPOGS212603"	"DPSCF300245"	"DPOGS212603"	"A"	4
"DPOGS212636"	"DPSCF300245"	"DPOGS212636"	"A"	4
"DPOGS212635"	"DPSCF300245"	"DPOGS212635"	"A"	4
"DPOGS212602"	"DPSCF300245"	"DPOGS212602"	"A"	4
"DPOGS212607"	"DPSCF300245"	"DPOGS212607"	"A"	4
"DPOGS212610"	"DPSCF300245"	"DPOGS212610"	"A"	4
"DPOGS212605"	"DPSCF300245"	"DPOGS212605"	"A"	4
"DPOGS212617"	"DPSCF300245"	"DPOGS212617"	"A"	4
"DPOGS212604"	"DPSCF300245"	"DPOGS212604"	"A"	4
"DPOGS212616"	"DPSCF300245"	"DPOGS212616"	"A"	4
"DPOGS212589"	"DPSCF300245"	"DPOGS212589"	"A"	4
"DPOGS212590"	"DPSCF300245"	"DPOGS212590"	"A"	4
"DPOGS212586"	"DPSCF300245"	"DPOGS212586"	"A"	4
"DPOGS212621"	"DPSCF300245"	"DPOGS212621"	"A"	4
"DPOGS212585"	"DPSCF300245"	"DPOGS212585"	"A"	4
"DPOGS212632"	"DPSCF300245"	"DPOGS212632"	"A"	4
"DPOGS212628"	"DPSCF300245"	"DPOGS212628"	"A"	4
"DPOGS212618"	"DPSCF300245"	"DPOGS212618"	"A"	4
"DPOGS212633"	"DPSCF300245"	"DPOGS212633"	"A"	4
"DPOGS212600"	"DPSCF300245"	"DPOGS212600"	"A"	4
"DPOGS212588"	"DPSCF300245"	"DPOGS212588"	"A"	4
"DPOGS212587"	"DPSCF300245"	"DPOGS212587"	"A"	4
"DPOGS212614"	"DPSCF300245"	"DPOGS212614"	"A"	4
"DPOGS212615"	"DPSCF300245"	"DPOGS212615"	"A"	4
"DPOGS212624"	"DPSCF300245"	"DPOGS212624"	"A"	4
"DPOGS212599"	"DPSCF300245"	"DPOGS212599"	"A"	4
"DPOGS212631"	"DPSCF300245"	"DPOGS212631"	"A"	4
"DPOGS212612"	"DPSCF300245"	"DPOGS212612"	"A"	4
"DPOGS212630"	"DPSCF300245"	"DPOGS212630"	"A"	4
"DPOGS212601"	"DPSCF300245"	"DPOGS212601"	"A"	4
"DPOGS212626"	"DPSCF300245"	"DPOGS212626"	"A"	4
"DPOGS212627"	"DPSCF300245"	"DPOGS212627"	"A"	4
"DPOGS212613"	"DPSCF300245"	"DPOGS212613"	"A"	4
"DPOGS212598"	"DPSCF300245"	"DPOGS212598"	"A"	4
"DPOGS212629"	"DPSCF300245"	"DPOGS212629"	"A"	4
