"scaffold"	"geneID"	"ZorA"	"chromosome"
"DPOGS214580"	"DPSCF300050"	"DPOGS214580"	"A"	18
"DPOGS214579"	"DPSCF300050"	"DPOGS214579"	"A"	18
"DPOGS214592"	"DPSCF300050"	"DPOGS214592"	"A"	18
"DPOGS214593"	"DPSCF300050"	"DPOGS214593"	"A"	18
"DPOGS214594"	"DPSCF300050"	"DPOGS214594"	"A"	18
"DPOGS214578"	"DPSCF300050"	"DPOGS214578"	"A"	18
"DPOGS214591"	"DPSCF300050"	"DPOGS214591"	"A"	18
"DPOGS214605"	"DPSCF300050"	"DPOGS214605"	"A"	18
"DPOGS214606"	"DPSCF300050"	"DPOGS214606"	"A"	18
"DPOGS214617"	"DPSCF300050"	"DPOGS214617"	"A"	18
"DPOGS214595"	"DPSCF300050"	"DPOGS214595"	"A"	18
"DPOGS214587"	"DPSCF300050"	"DPOGS214587"	"A"	18
"DPOGS214611"	"DPSCF300050"	"DPOGS214611"	"A"	18
"DPOGS214607"	"DPSCF300050"	"DPOGS214607"	"A"	18
"DPOGS214586"	"DPSCF300050"	"DPOGS214586"	"A"	18
"DPOGS214604"	"DPSCF300050"	"DPOGS214604"	"A"	18
"DPOGS214618"	"DPSCF300050"	"DPOGS214618"	"A"	18
"DPOGS214577"	"DPSCF300050"	"DPOGS214577"	"A"	18
"DPOGS214590"	"DPSCF300050"	"DPOGS214590"	"A"	18
"DPOGS214608"	"DPSCF300050"	"DPOGS214608"	"A"	18
"DPOGS214609"	"DPSCF300050"	"DPOGS214609"	"A"	18
"DPOGS214619"	"DPSCF300050"	"DPOGS214619"	"A"	18
"DPOGS214632"	"DPSCF300050"	"DPOGS214632"	"A"	18
"DPOGS214612"	"DPSCF300050"	"DPOGS214612"	"A"	18
"DPOGS214613"	"DPSCF300050"	"DPOGS214613"	"A"	18
"DPOGS214650"	"DPSCF300050"	"DPOGS214650"	"A"	18
"DPOGS214589"	"DPSCF300050"	"DPOGS214589"	"A"	18
"DPOGS214603"	"DPSCF300050"	"DPOGS214603"	"A"	18
"DPOGS214576"	"DPSCF300050"	"DPOGS214576"	"A"	18
"DPOGS214630"	"DPSCF300050"	"DPOGS214630"	"A"	18
"DPOGS214631"	"DPSCF300050"	"DPOGS214631"	"A"	18
"DPOGS214646"	"DPSCF300050"	"DPOGS214646"	"A"	18
"DPOGS214633"	"DPSCF300050"	"DPOGS214633"	"A"	18
"DPOGS214634"	"DPSCF300050"	"DPOGS214634"	"A"	18
"DPOGS214596"	"DPSCF300050"	"DPOGS214596"	"A"	18
"DPOGS214651"	"DPSCF300050"	"DPOGS214651"	"A"	18
"DPOGS214585"	"DPSCF300050"	"DPOGS214585"	"A"	18
"DPOGS214625"	"DPSCF300050"	"DPOGS214625"	"A"	18
"DPOGS214614"	"DPSCF300050"	"DPOGS214614"	"A"	18
"DPOGS214588"	"DPSCF300050"	"DPOGS214588"	"A"	18
"DPOGS214616"	"DPSCF300050"	"DPOGS214616"	"A"	18
"DPOGS214629"	"DPSCF300050"	"DPOGS214629"	"A"	18
"DPOGS214644"	"DPSCF300050"	"DPOGS214644"	"A"	18
"DPOGS214645"	"DPSCF300050"	"DPOGS214645"	"A"	18
"DPOGS214640"	"DPSCF300050"	"DPOGS214640"	"A"	18
"DPOGS214648"	"DPSCF300050"	"DPOGS214648"	"A"	18
"DPOGS214649"	"DPSCF300050"	"DPOGS214649"	"A"	18
"DPOGS214568"	"DPSCF300050"	"DPOGS214568"	"A"	18
"DPOGS214571"	"DPSCF300050"	"DPOGS214571"	"A"	18
"DPOGS214626"	"DPSCF300050"	"DPOGS214626"	"A"	18
"DPOGS214599"	"DPSCF300050"	"DPOGS214599"	"A"	18
"DPOGS214615"	"DPSCF300050"	"DPOGS214615"	"A"	18
"DPOGS214643"	"DPSCF300050"	"DPOGS214643"	"A"	18
"DPOGS214574"	"DPSCF300050"	"DPOGS214574"	"A"	18
"DPOGS214628"	"DPSCF300050"	"DPOGS214628"	"A"	18
"DPOGS214583"	"DPSCF300050"	"DPOGS214583"	"A"	18
"DPOGS214584"	"DPSCF300050"	"DPOGS214584"	"A"	18
"DPOGS214620"	"DPSCF300050"	"DPOGS214620"	"A"	18
"DPOGS214621"	"DPSCF300050"	"DPOGS214621"	"A"	18
"DPOGS214638"	"DPSCF300050"	"DPOGS214638"	"A"	18
"DPOGS214627"	"DPSCF300050"	"DPOGS214627"	"A"	18
"DPOGS214623"	"DPSCF300050"	"DPOGS214623"	"A"	18
"DPOGS214572"	"DPSCF300050"	"DPOGS214572"	"A"	18
"DPOGS214641"	"DPSCF300050"	"DPOGS214641"	"A"	18
"DPOGS214642"	"DPSCF300050"	"DPOGS214642"	"A"	18
"DPOGS214575"	"DPSCF300050"	"DPOGS214575"	"A"	18
"DPOGS214601"	"DPSCF300050"	"DPOGS214601"	"A"	18
"DPOGS214624"	"DPSCF300050"	"DPOGS214624"	"A"	18
"DPOGS214637"	"DPSCF300050"	"DPOGS214637"	"A"	18
"DPOGS214636"	"DPSCF300050"	"DPOGS214636"	"A"	18
"DPOGS214597"	"DPSCF300050"	"DPOGS214597"	"A"	18
"DPOGS214602"	"DPSCF300050"	"DPOGS214602"	"A"	18
"DPOGS214639"	"DPSCF300050"	"DPOGS214639"	"A"	18
"DPOGS214600"	"DPSCF300050"	"DPOGS214600"	"A"	18
"DPOGS214610"	"DPSCF300050"	"DPOGS214610"	"A"	18
"DPOGS214582"	"DPSCF300050"	"DPOGS214582"	"A"	18
"DPOGS214622"	"DPSCF300050"	"DPOGS214622"	"A"	18
"DPOGS214581"	"DPSCF300050"	"DPOGS214581"	"A"	18
"DPOGS214598"	"DPSCF300050"	"DPOGS214598"	"A"	18
"DPOGS214635"	"DPSCF300050"	"DPOGS214635"	"A"	18
