"scaffold"	"geneID"	"ZorA"	"chromosome"
"DPOGS202771"	"DPSCF300018"	"DPOGS202771"	"A"	4
"DPOGS202809"	"DPSCF300018"	"DPOGS202809"	"A"	4
"DPOGS202858"	"DPSCF300018"	"DPOGS202858"	"A"	4
"DPOGS202767"	"DPSCF300018"	"DPOGS202767"	"A"	4
"DPOGS202859"	"DPSCF300018"	"DPOGS202859"	"A"	4
"DPOGS202855"	"DPSCF300018"	"DPOGS202855"	"A"	4
"DPOGS202862"	"DPSCF300018"	"DPOGS202862"	"A"	4
"DPOGS202849"	"DPSCF300018"	"DPOGS202849"	"A"	4
"DPOGS202807"	"DPSCF300018"	"DPOGS202807"	"A"	4
"DPOGS202770"	"DPSCF300018"	"DPOGS202770"	"A"	4
"DPOGS202808"	"DPSCF300018"	"DPOGS202808"	"A"	4
"DPOGS202861"	"DPSCF300018"	"DPOGS202861"	"A"	4
"DPOGS202847"	"DPSCF300018"	"DPOGS202847"	"A"	4
"DPOGS202810"	"DPSCF300018"	"DPOGS202810"	"A"	4
"DPOGS202854"	"DPSCF300018"	"DPOGS202854"	"A"	4
"DPOGS202857"	"DPSCF300018"	"DPOGS202857"	"A"	4
"DPOGS202812"	"DPSCF300018"	"DPOGS202812"	"A"	4
"DPOGS202797"	"DPSCF300018"	"DPOGS202797"	"A"	4
"DPOGS202850"	"DPSCF300018"	"DPOGS202850"	"A"	4
"DPOGS202867"	"DPSCF300018"	"DPOGS202867"	"A"	4
"DPOGS202795"	"DPSCF300018"	"DPOGS202795"	"A"	4
"DPOGS202865"	"DPSCF300018"	"DPOGS202865"	"A"	4
"DPOGS202848"	"DPSCF300018"	"DPOGS202848"	"A"	4
"DPOGS202804"	"DPSCF300018"	"DPOGS202804"	"A"	4
"DPOGS202805"	"DPSCF300018"	"DPOGS202805"	"A"	4
"DPOGS202853"	"DPSCF300018"	"DPOGS202853"	"A"	4
"DPOGS202821"	"DPSCF300018"	"DPOGS202821"	"A"	4
"DPOGS202769"	"DPSCF300018"	"DPOGS202769"	"A"	4
"DPOGS202785"	"DPSCF300018"	"DPOGS202785"	"A"	4
"DPOGS202806"	"DPSCF300018"	"DPOGS202806"	"A"	4
"DPOGS202758"	"DPSCF300018"	"DPOGS202758"	"A"	4
"DPOGS202764"	"DPSCF300018"	"DPOGS202764"	"A"	4
"DPOGS202799"	"DPSCF300018"	"DPOGS202799"	"A"	4
"DPOGS202828"	"DPSCF300018"	"DPOGS202828"	"A"	4
"DPOGS202777"	"DPSCF300018"	"DPOGS202777"	"A"	4
"DPOGS202830"	"DPSCF300018"	"DPOGS202830"	"A"	4
"DPOGS202839"	"DPSCF300018"	"DPOGS202839"	"A"	4
"DPOGS202781"	"DPSCF300018"	"DPOGS202781"	"A"	4
"DPOGS202803"	"DPSCF300018"	"DPOGS202803"	"A"	4
"DPOGS202866"	"DPSCF300018"	"DPOGS202866"	"A"	4
"DPOGS202817"	"DPSCF300018"	"DPOGS202817"	"A"	4
"DPOGS202836"	"DPSCF300018"	"DPOGS202836"	"A"	4
"DPOGS202778"	"DPSCF300018"	"DPOGS202778"	"A"	4
"DPOGS202787"	"DPSCF300018"	"DPOGS202787"	"A"	4
"DPOGS202779"	"DPSCF300018"	"DPOGS202779"	"A"	4
"DPOGS202822"	"DPSCF300018"	"DPOGS202822"	"A"	4
"DPOGS202833"	"DPSCF300018"	"DPOGS202833"	"A"	4
"DPOGS202773"	"DPSCF300018"	"DPOGS202773"	"A"	4
"DPOGS202851"	"DPSCF300018"	"DPOGS202851"	"A"	4
"DPOGS202846"	"DPSCF300018"	"DPOGS202846"	"A"	4
"DPOGS202793"	"DPSCF300018"	"DPOGS202793"	"A"	4
"DPOGS202818"	"DPSCF300018"	"DPOGS202818"	"A"	4
"DPOGS202819"	"DPSCF300018"	"DPOGS202819"	"A"	4
"DPOGS202798"	"DPSCF300018"	"DPOGS202798"	"A"	4
"DPOGS202864"	"DPSCF300018"	"DPOGS202864"	"A"	4
"DPOGS202794"	"DPSCF300018"	"DPOGS202794"	"A"	4
"DPOGS202765"	"DPSCF300018"	"DPOGS202765"	"A"	4
"DPOGS202829"	"DPSCF300018"	"DPOGS202829"	"A"	4
"DPOGS202820"	"DPSCF300018"	"DPOGS202820"	"A"	4
"DPOGS202841"	"DPSCF300018"	"DPOGS202841"	"A"	4
"DPOGS202774"	"DPSCF300018"	"DPOGS202774"	"A"	4
"DPOGS202766"	"DPSCF300018"	"DPOGS202766"	"A"	4
"DPOGS202788"	"DPSCF300018"	"DPOGS202788"	"A"	4
"DPOGS202831"	"DPSCF300018"	"DPOGS202831"	"A"	4
"DPOGS202835"	"DPSCF300018"	"DPOGS202835"	"A"	4
"DPOGS202837"	"DPSCF300018"	"DPOGS202837"	"A"	4
"DPOGS202775"	"DPSCF300018"	"DPOGS202775"	"A"	4
"DPOGS202801"	"DPSCF300018"	"DPOGS202801"	"A"	4
"DPOGS202790"	"DPSCF300018"	"DPOGS202790"	"A"	4
"DPOGS202792"	"DPSCF300018"	"DPOGS202792"	"A"	4
"DPOGS202827"	"DPSCF300018"	"DPOGS202827"	"A"	4
"DPOGS202816"	"DPSCF300018"	"DPOGS202816"	"A"	4
"DPOGS202789"	"DPSCF300018"	"DPOGS202789"	"A"	4
"DPOGS202838"	"DPSCF300018"	"DPOGS202838"	"A"	4
