"scaffold"	"geneID"	"ZorA"	"chromosome"
"DPOGS202002"	"DPSCF300060"	"DPOGS202002"	"A"	4
"DPOGS201969"	"DPSCF300060"	"DPOGS201969"	"A"	4
"DPOGS201981"	"DPSCF300060"	"DPOGS201981"	"A"	4
"DPOGS201972"	"DPSCF300060"	"DPOGS201972"	"A"	4
"DPOGS201975"	"DPSCF300060"	"DPOGS201975"	"A"	4
"DPOGS201977"	"DPSCF300060"	"DPOGS201977"	"A"	4
"DPOGS201990"	"DPSCF300060"	"DPOGS201990"	"A"	4
"DPOGS202004"	"DPSCF300060"	"DPOGS202004"	"A"	4
"DPOGS201980"	"DPSCF300060"	"DPOGS201980"	"A"	4
"DPOGS201998"	"DPSCF300060"	"DPOGS201998"	"A"	4
"DPOGS201964"	"DPSCF300060"	"DPOGS201964"	"A"	4
"DPOGS201989"	"DPSCF300060"	"DPOGS201989"	"A"	4
"DPOGS201999"	"DPSCF300060"	"DPOGS201999"	"A"	4
"DPOGS201993"	"DPSCF300060"	"DPOGS201993"	"A"	4
"DPOGS201985"	"DPSCF300060"	"DPOGS201985"	"A"	4
"DPOGS201988"	"DPSCF300060"	"DPOGS201988"	"A"	4
"DPOGS201978"	"DPSCF300060"	"DPOGS201978"	"A"	4
"DPOGS201970"	"DPSCF300060"	"DPOGS201970"	"A"	4
"DPOGS201992"	"DPSCF300060"	"DPOGS201992"	"A"	4
"DPOGS201963"	"DPSCF300060"	"DPOGS201963"	"A"	4
"DPOGS201962"	"DPSCF300060"	"DPOGS201962"	"A"	4
"DPOGS201971"	"DPSCF300060"	"DPOGS201971"	"A"	4
"DPOGS201979"	"DPSCF300060"	"DPOGS201979"	"A"	4
"DPOGS201996"	"DPSCF300060"	"DPOGS201996"	"A"	4
"DPOGS201982"	"DPSCF300060"	"DPOGS201982"	"A"	4
"DPOGS201984"	"DPSCF300060"	"DPOGS201984"	"A"	4
"DPOGS202003"	"DPSCF300060"	"DPOGS202003"	"A"	4
"DPOGS201965"	"DPSCF300060"	"DPOGS201965"	"A"	4
"DPOGS201967"	"DPSCF300060"	"DPOGS201967"	"A"	4
"DPOGS201974"	"DPSCF300060"	"DPOGS201974"	"A"	4
"DPOGS201973"	"DPSCF300060"	"DPOGS201973"	"A"	4
"DPOGS201991"	"DPSCF300060"	"DPOGS201991"	"A"	4
"DPOGS201983"	"DPSCF300060"	"DPOGS201983"	"A"	4
"DPOGS202001"	"DPSCF300060"	"DPOGS202001"	"A"	4
"DPOGS201976"	"DPSCF300060"	"DPOGS201976"	"A"	4
"DPOGS201994"	"DPSCF300060"	"DPOGS201994"	"A"	4
"DPOGS201968"	"DPSCF300060"	"DPOGS201968"	"A"	4
"DPOGS201986"	"DPSCF300060"	"DPOGS201986"	"A"	4
"DPOGS201987"	"DPSCF300060"	"DPOGS201987"	"A"	4
"DPOGS202006"	"DPSCF300060"	"DPOGS202006"	"A"	4
"DPOGS202005"	"DPSCF300060"	"DPOGS202005"	"A"	4
"DPOGS201997"	"DPSCF300060"	"DPOGS201997"	"A"	4
"DPOGS201995"	"DPSCF300060"	"DPOGS201995"	"A"	4
