"scaffold"	"geneID"	"ZorA"	"chromosome"
"DPOGS215242"	"DPSCF300047"	"DPOGS215242"	"A"	17
"DPOGS215247"	"DPSCF300047"	"DPOGS215247"	"A"	17
"DPOGS215243"	"DPSCF300047"	"DPOGS215243"	"A"	17
"DPOGS215246"	"DPSCF300047"	"DPOGS215246"	"A"	17
"DPOGS215251"	"DPSCF300047"	"DPOGS215251"	"A"	17
"DPOGS215261"	"DPSCF300047"	"DPOGS215261"	"A"	17
"DPOGS215248"	"DPSCF300047"	"DPOGS215248"	"A"	17
"DPOGS215250"	"DPSCF300047"	"DPOGS215250"	"A"	17
"DPOGS215256"	"DPSCF300047"	"DPOGS215256"	"A"	17
"DPOGS215269"	"DPSCF300047"	"DPOGS215269"	"A"	17
"DPOGS215253"	"DPSCF300047"	"DPOGS215253"	"A"	17
"DPOGS215249"	"DPSCF300047"	"DPOGS215249"	"A"	17
"DPOGS215260"	"DPSCF300047"	"DPOGS215260"	"A"	17
"DPOGS215273"	"DPSCF300047"	"DPOGS215273"	"A"	17
"DPOGS215244"	"DPSCF300047"	"DPOGS215244"	"A"	17
"DPOGS215267"	"DPSCF300047"	"DPOGS215267"	"A"	17
"DPOGS215277"	"DPSCF300047"	"DPOGS215277"	"A"	17
"DPOGS215278"	"DPSCF300047"	"DPOGS215278"	"A"	17
"DPOGS215263"	"DPSCF300047"	"DPOGS215263"	"A"	17
"DPOGS215272"	"DPSCF300047"	"DPOGS215272"	"A"	17
"DPOGS215281"	"DPSCF300047"	"DPOGS215281"	"A"	17
"DPOGS215282"	"DPSCF300047"	"DPOGS215282"	"A"	17
"DPOGS215270"	"DPSCF300047"	"DPOGS215270"	"A"	17
"DPOGS215265"	"DPSCF300047"	"DPOGS215265"	"A"	17
"DPOGS215240"	"DPSCF300047"	"DPOGS215240"	"A"	17
"DPOGS215241"	"DPSCF300047"	"DPOGS215241"	"A"	17
"DPOGS215254"	"DPSCF300047"	"DPOGS215254"	"A"	17
"DPOGS215257"	"DPSCF300047"	"DPOGS215257"	"A"	17
"DPOGS215276"	"DPSCF300047"	"DPOGS215276"	"A"	17
"DPOGS215245"	"DPSCF300047"	"DPOGS215245"	"A"	17
"DPOGS215259"	"DPSCF300047"	"DPOGS215259"	"A"	17
"DPOGS215271"	"DPSCF300047"	"DPOGS215271"	"A"	17
"DPOGS215279"	"DPSCF300047"	"DPOGS215279"	"A"	17
"DPOGS215280"	"DPSCF300047"	"DPOGS215280"	"A"	17
"DPOGS215255"	"DPSCF300047"	"DPOGS215255"	"A"	17
"DPOGS215239"	"DPSCF300047"	"DPOGS215239"	"A"	17
"DPOGS215238"	"DPSCF300047"	"DPOGS215238"	"A"	17
"DPOGS215258"	"DPSCF300047"	"DPOGS215258"	"A"	17
"DPOGS215275"	"DPSCF300047"	"DPOGS215275"	"A"	17
