"scaffold"	"geneID"	"ZorA"	"chromosome"
"DPOGS206227"	"DPSCF300334"	"DPOGS206227"	"A"	28
"DPOGS206232"	"DPSCF300334"	"DPOGS206232"	"A"	28
"DPOGS206233"	"DPSCF300334"	"DPOGS206233"	"A"	28
"DPOGS206222"	"DPSCF300334"	"DPOGS206222"	"A"	28
"DPOGS206229"	"DPSCF300334"	"DPOGS206229"	"A"	28
"DPOGS206230"	"DPSCF300334"	"DPOGS206230"	"A"	28
"DPOGS206234"	"DPSCF300334"	"DPOGS206234"	"A"	28
"DPOGS206218"	"DPSCF300334"	"DPOGS206218"	"A"	28
"DPOGS206228"	"DPSCF300334"	"DPOGS206228"	"A"	28
"DPOGS206215"	"DPSCF300334"	"DPOGS206215"	"A"	28
"DPOGS206236"	"DPSCF300334"	"DPOGS206236"	"A"	28
"DPOGS206221"	"DPSCF300334"	"DPOGS206221"	"A"	28
"DPOGS206219"	"DPSCF300334"	"DPOGS206219"	"A"	28
"DPOGS206216"	"DPSCF300334"	"DPOGS206216"	"A"	28
"DPOGS206226"	"DPSCF300334"	"DPOGS206226"	"A"	28
"DPOGS206220"	"DPSCF300334"	"DPOGS206220"	"A"	28
"DPOGS206235"	"DPSCF300334"	"DPOGS206235"	"A"	28
"DPOGS206223"	"DPSCF300334"	"DPOGS206223"	"A"	28
"DPOGS206237"	"DPSCF300334"	"DPOGS206237"	"A"	28
"DPOGS206238"	"DPSCF300334"	"DPOGS206238"	"A"	28
"DPOGS206231"	"DPSCF300334"	"DPOGS206231"	"A"	28
