"scaffold"	"geneID"	"ZorA"	"chromosome"
"DPOGS209447"	"DPSCF300275"	"DPOGS209447"	"A"	4
"DPOGS209450"	"DPSCF300275"	"DPOGS209450"	"A"	4
"DPOGS209442"	"DPSCF300275"	"DPOGS209442"	"A"	4
"DPOGS209441"	"DPSCF300275"	"DPOGS209441"	"A"	4
"DPOGS209437"	"DPSCF300275"	"DPOGS209437"	"A"	4
"DPOGS209476"	"DPSCF300275"	"DPOGS209476"	"A"	4
"DPOGS209467"	"DPSCF300275"	"DPOGS209467"	"A"	4
"DPOGS209460"	"DPSCF300275"	"DPOGS209460"	"A"	4
"DPOGS209449"	"DPSCF300275"	"DPOGS209449"	"A"	4
"DPOGS209443"	"DPSCF300275"	"DPOGS209443"	"A"	4
"DPOGS209457"	"DPSCF300275"	"DPOGS209457"	"A"	4
"DPOGS209438"	"DPSCF300275"	"DPOGS209438"	"A"	4
"DPOGS209446"	"DPSCF300275"	"DPOGS209446"	"A"	4
"DPOGS209475"	"DPSCF300275"	"DPOGS209475"	"A"	4
"DPOGS209469"	"DPSCF300275"	"DPOGS209469"	"A"	4
"DPOGS209477"	"DPSCF300275"	"DPOGS209477"	"A"	4
"DPOGS209459"	"DPSCF300275"	"DPOGS209459"	"A"	4
"DPOGS209444"	"DPSCF300275"	"DPOGS209444"	"A"	4
"DPOGS209440"	"DPSCF300275"	"DPOGS209440"	"A"	4
"DPOGS209461"	"DPSCF300275"	"DPOGS209461"	"A"	4
"DPOGS209445"	"DPSCF300275"	"DPOGS209445"	"A"	4
"DPOGS209448"	"DPSCF300275"	"DPOGS209448"	"A"	4
"DPOGS209472"	"DPSCF300275"	"DPOGS209472"	"A"	4
"DPOGS209471"	"DPSCF300275"	"DPOGS209471"	"A"	4
"DPOGS209470"	"DPSCF300275"	"DPOGS209470"	"A"	4
"DPOGS209466"	"DPSCF300275"	"DPOGS209466"	"A"	4
"DPOGS209456"	"DPSCF300275"	"DPOGS209456"	"A"	4
"DPOGS209452"	"DPSCF300275"	"DPOGS209452"	"A"	4
"DPOGS209455"	"DPSCF300275"	"DPOGS209455"	"A"	4
"DPOGS209454"	"DPSCF300275"	"DPOGS209454"	"A"	4
"DPOGS209458"	"DPSCF300275"	"DPOGS209458"	"A"	4
"DPOGS209474"	"DPSCF300275"	"DPOGS209474"	"A"	4
"DPOGS209465"	"DPSCF300275"	"DPOGS209465"	"A"	4
"DPOGS209439"	"DPSCF300275"	"DPOGS209439"	"A"	4
"DPOGS209451"	"DPSCF300275"	"DPOGS209451"	"A"	4
"DPOGS209464"	"DPSCF300275"	"DPOGS209464"	"A"	4
"DPOGS209473"	"DPSCF300275"	"DPOGS209473"	"A"	4
"DPOGS209463"	"DPSCF300275"	"DPOGS209463"	"A"	4
