"scaffold"	"geneID"	"ZorA"	"chromosome"
"DPOGS212465"	"DPSCF300222"	"DPOGS212465"	"A"	28
"DPOGS212464"	"DPSCF300222"	"DPOGS212464"	"A"	28
"DPOGS212477"	"DPSCF300222"	"DPOGS212477"	"A"	28
"DPOGS212466"	"DPSCF300222"	"DPOGS212466"	"A"	28
"DPOGS212481"	"DPSCF300222"	"DPOGS212481"	"A"	28
"DPOGS212505"	"DPSCF300222"	"DPOGS212505"	"A"	28
"DPOGS212476"	"DPSCF300222"	"DPOGS212476"	"A"	28
"DPOGS212479"	"DPSCF300222"	"DPOGS212479"	"A"	28
"DPOGS212530"	"DPSCF300222"	"DPOGS212530"	"A"	28
"DPOGS212507"	"DPSCF300222"	"DPOGS212507"	"A"	28
"DPOGS212467"	"DPSCF300222"	"DPOGS212467"	"A"	28
"DPOGS212504"	"DPSCF300222"	"DPOGS212504"	"A"	28
"DPOGS212473"	"DPSCF300222"	"DPOGS212473"	"A"	28
"DPOGS212492"	"DPSCF300222"	"DPOGS212492"	"A"	28
"DPOGS212463"	"DPSCF300222"	"DPOGS212463"	"A"	28
"DPOGS212489"	"DPSCF300222"	"DPOGS212489"	"A"	28
"DPOGS212509"	"DPSCF300222"	"DPOGS212509"	"A"	28
"DPOGS212490"	"DPSCF300222"	"DPOGS212490"	"A"	28
"DPOGS212517"	"DPSCF300222"	"DPOGS212517"	"A"	28
"DPOGS212508"	"DPSCF300222"	"DPOGS212508"	"A"	28
"DPOGS212472"	"DPSCF300222"	"DPOGS212472"	"A"	28
"DPOGS212488"	"DPSCF300222"	"DPOGS212488"	"A"	28
"DPOGS212506"	"DPSCF300222"	"DPOGS212506"	"A"	28
"DPOGS212475"	"DPSCF300222"	"DPOGS212475"	"A"	28
"DPOGS212480"	"DPSCF300222"	"DPOGS212480"	"A"	28
"DPOGS212482"	"DPSCF300222"	"DPOGS212482"	"A"	28
"DPOGS212527"	"DPSCF300222"	"DPOGS212527"	"A"	28
"DPOGS212529"	"DPSCF300222"	"DPOGS212529"	"A"	28
"DPOGS212474"	"DPSCF300222"	"DPOGS212474"	"A"	28
"DPOGS212515"	"DPSCF300222"	"DPOGS212515"	"A"	28
"DPOGS212468"	"DPSCF300222"	"DPOGS212468"	"A"	28
"DPOGS212501"	"DPSCF300222"	"DPOGS212501"	"A"	28
"DPOGS212528"	"DPSCF300222"	"DPOGS212528"	"A"	28
"DPOGS212500"	"DPSCF300222"	"DPOGS212500"	"A"	28
"DPOGS212487"	"DPSCF300222"	"DPOGS212487"	"A"	28
"DPOGS212526"	"DPSCF300222"	"DPOGS212526"	"A"	28
"DPOGS212511"	"DPSCF300222"	"DPOGS212511"	"A"	28
"DPOGS212524"	"DPSCF300222"	"DPOGS212524"	"A"	28
"DPOGS212493"	"DPSCF300222"	"DPOGS212493"	"A"	28
"DPOGS212478"	"DPSCF300222"	"DPOGS212478"	"A"	28
"DPOGS212516"	"DPSCF300222"	"DPOGS212516"	"A"	28
"DPOGS212519"	"DPSCF300222"	"DPOGS212519"	"A"	28
"DPOGS212525"	"DPSCF300222"	"DPOGS212525"	"A"	28
"DPOGS212522"	"DPSCF300222"	"DPOGS212522"	"A"	28
"DPOGS212491"	"DPSCF300222"	"DPOGS212491"	"A"	28
"DPOGS212502"	"DPSCF300222"	"DPOGS212502"	"A"	28
"DPOGS212514"	"DPSCF300222"	"DPOGS212514"	"A"	28
"DPOGS212521"	"DPSCF300222"	"DPOGS212521"	"A"	28
"DPOGS212503"	"DPSCF300222"	"DPOGS212503"	"A"	28
"DPOGS212471"	"DPSCF300222"	"DPOGS212471"	"A"	28
