"scaffold"	"geneID"	"ZorA"	"chromosome"
"DPOGS203152"	"DPSCF300035"	"DPOGS203152"	"A"	14
"DPOGS203194"	"DPSCF300035"	"DPOGS203194"	"A"	14
"DPOGS203155"	"DPSCF300035"	"DPOGS203155"	"A"	14
"DPOGS203195"	"DPSCF300035"	"DPOGS203195"	"A"	14
"DPOGS203162"	"DPSCF300035"	"DPOGS203162"	"A"	14
"DPOGS203183"	"DPSCF300035"	"DPOGS203183"	"A"	14
"DPOGS203196"	"DPSCF300035"	"DPOGS203196"	"A"	14
"DPOGS203207"	"DPSCF300035"	"DPOGS203207"	"A"	14
"DPOGS203232"	"DPSCF300035"	"DPOGS203232"	"A"	14
"DPOGS203154"	"DPSCF300035"	"DPOGS203154"	"A"	14
"DPOGS203191"	"DPSCF300035"	"DPOGS203191"	"A"	14
"DPOGS203135"	"DPSCF300035"	"DPOGS203135"	"A"	14
"DPOGS203149"	"DPSCF300035"	"DPOGS203149"	"A"	14
"DPOGS203197"	"DPSCF300035"	"DPOGS203197"	"A"	14
"DPOGS203184"	"DPSCF300035"	"DPOGS203184"	"A"	14
"DPOGS203188"	"DPSCF300035"	"DPOGS203188"	"A"	14
"DPOGS203189"	"DPSCF300035"	"DPOGS203189"	"A"	14
"DPOGS203190"	"DPSCF300035"	"DPOGS203190"	"A"	14
"DPOGS203216"	"DPSCF300035"	"DPOGS203216"	"A"	14
"DPOGS203134"	"DPSCF300035"	"DPOGS203134"	"A"	14
"DPOGS203192"	"DPSCF300035"	"DPOGS203192"	"A"	14
"DPOGS203217"	"DPSCF300035"	"DPOGS203217"	"A"	14
"DPOGS203233"	"DPSCF300035"	"DPOGS203233"	"A"	14
"DPOGS203215"	"DPSCF300035"	"DPOGS203215"	"A"	14
"DPOGS203159"	"DPSCF300035"	"DPOGS203159"	"A"	14
"DPOGS203171"	"DPSCF300035"	"DPOGS203171"	"A"	14
"DPOGS203220"	"DPSCF300035"	"DPOGS203220"	"A"	14
"DPOGS203182"	"DPSCF300035"	"DPOGS203182"	"A"	14
"DPOGS203185"	"DPSCF300035"	"DPOGS203185"	"A"	14
"DPOGS203221"	"DPSCF300035"	"DPOGS203221"	"A"	14
"DPOGS203151"	"DPSCF300035"	"DPOGS203151"	"A"	14
"DPOGS203169"	"DPSCF300035"	"DPOGS203169"	"A"	14
"DPOGS203219"	"DPSCF300035"	"DPOGS203219"	"A"	14
"DPOGS203223"	"DPSCF300035"	"DPOGS203223"	"A"	14
"DPOGS203226"	"DPSCF300035"	"DPOGS203226"	"A"	14
"DPOGS203224"	"DPSCF300035"	"DPOGS203224"	"A"	14
"DPOGS203187"	"DPSCF300035"	"DPOGS203187"	"A"	14
"DPOGS203201"	"DPSCF300035"	"DPOGS203201"	"A"	14
"DPOGS203153"	"DPSCF300035"	"DPOGS203153"	"A"	14
"DPOGS203203"	"DPSCF300035"	"DPOGS203203"	"A"	14
"DPOGS203222"	"DPSCF300035"	"DPOGS203222"	"A"	14
"DPOGS203227"	"DPSCF300035"	"DPOGS203227"	"A"	14
"DPOGS203214"	"DPSCF300035"	"DPOGS203214"	"A"	14
"DPOGS203142"	"DPSCF300035"	"DPOGS203142"	"A"	14
"DPOGS203230"	"DPSCF300035"	"DPOGS203230"	"A"	14
"DPOGS203136"	"DPSCF300035"	"DPOGS203136"	"A"	14
"DPOGS203231"	"DPSCF300035"	"DPOGS203231"	"A"	14
"DPOGS203170"	"DPSCF300035"	"DPOGS203170"	"A"	14
"DPOGS203157"	"DPSCF300035"	"DPOGS203157"	"A"	14
"DPOGS203206"	"DPSCF300035"	"DPOGS203206"	"A"	14
"DPOGS203229"	"DPSCF300035"	"DPOGS203229"	"A"	14
"DPOGS203164"	"DPSCF300035"	"DPOGS203164"	"A"	14
"DPOGS203178"	"DPSCF300035"	"DPOGS203178"	"A"	14
"DPOGS203202"	"DPSCF300035"	"DPOGS203202"	"A"	14
"DPOGS203161"	"DPSCF300035"	"DPOGS203161"	"A"	14
"DPOGS203160"	"DPSCF300035"	"DPOGS203160"	"A"	14
"DPOGS203150"	"DPSCF300035"	"DPOGS203150"	"A"	14
"DPOGS203199"	"DPSCF300035"	"DPOGS203199"	"A"	14
"DPOGS203168"	"DPSCF300035"	"DPOGS203168"	"A"	14
"DPOGS203225"	"DPSCF300035"	"DPOGS203225"	"A"	14
"DPOGS203218"	"DPSCF300035"	"DPOGS203218"	"A"	14
"DPOGS203172"	"DPSCF300035"	"DPOGS203172"	"A"	14
"DPOGS203177"	"DPSCF300035"	"DPOGS203177"	"A"	14
"DPOGS203179"	"DPSCF300035"	"DPOGS203179"	"A"	14
"DPOGS203204"	"DPSCF300035"	"DPOGS203204"	"A"	14
"DPOGS203167"	"DPSCF300035"	"DPOGS203167"	"A"	14
"DPOGS203139"	"DPSCF300035"	"DPOGS203139"	"A"	14
"DPOGS203186"	"DPSCF300035"	"DPOGS203186"	"A"	14
"DPOGS203213"	"DPSCF300035"	"DPOGS203213"	"A"	14
"DPOGS203205"	"DPSCF300035"	"DPOGS203205"	"A"	14
"DPOGS203181"	"DPSCF300035"	"DPOGS203181"	"A"	14
"DPOGS203165"	"DPSCF300035"	"DPOGS203165"	"A"	14
"DPOGS203212"	"DPSCF300035"	"DPOGS203212"	"A"	14
"DPOGS203173"	"DPSCF300035"	"DPOGS203173"	"A"	14
"DPOGS203174"	"DPSCF300035"	"DPOGS203174"	"A"	14
"DPOGS203176"	"DPSCF300035"	"DPOGS203176"	"A"	14
"DPOGS203141"	"DPSCF300035"	"DPOGS203141"	"A"	14
"DPOGS203211"	"DPSCF300035"	"DPOGS203211"	"A"	14
"DPOGS203156"	"DPSCF300035"	"DPOGS203156"	"A"	14
"DPOGS203175"	"DPSCF300035"	"DPOGS203175"	"A"	14
"DPOGS203143"	"DPSCF300035"	"DPOGS203143"	"A"	14
"DPOGS203228"	"DPSCF300035"	"DPOGS203228"	"A"	14
"DPOGS203208"	"DPSCF300035"	"DPOGS203208"	"A"	14
"DPOGS203137"	"DPSCF300035"	"DPOGS203137"	"A"	14
"DPOGS203147"	"DPSCF300035"	"DPOGS203147"	"A"	14
"DPOGS203210"	"DPSCF300035"	"DPOGS203210"	"A"	14
"DPOGS203138"	"DPSCF300035"	"DPOGS203138"	"A"	14
"DPOGS203209"	"DPSCF300035"	"DPOGS203209"	"A"	14
"DPOGS203140"	"DPSCF300035"	"DPOGS203140"	"A"	14
"DPOGS203163"	"DPSCF300035"	"DPOGS203163"	"A"	14
"DPOGS203146"	"DPSCF300035"	"DPOGS203146"	"A"	14
