"scaffold"	"geneID"	"ZorA"	"chromosome"
"DPOGS215566"	"DPSCF300097"	"DPOGS215566"	"A"	11
"DPOGS215565"	"DPSCF300097"	"DPOGS215565"	"A"	11
"DPOGS215570"	"DPSCF300097"	"DPOGS215570"	"A"	11
"DPOGS215559"	"DPSCF300097"	"DPOGS215559"	"A"	11
"DPOGS215573"	"DPSCF300097"	"DPOGS215573"	"A"	11
"DPOGS215569"	"DPSCF300097"	"DPOGS215569"	"A"	11
"DPOGS215561"	"DPSCF300097"	"DPOGS215561"	"A"	11
"DPOGS215571"	"DPSCF300097"	"DPOGS215571"	"A"	11
"DPOGS215563"	"DPSCF300097"	"DPOGS215563"	"A"	11
"DPOGS215560"	"DPSCF300097"	"DPOGS215560"	"A"	11
"DPOGS215579"	"DPSCF300097"	"DPOGS215579"	"A"	11
"DPOGS215580"	"DPSCF300097"	"DPOGS215580"	"A"	11
"DPOGS215581"	"DPSCF300097"	"DPOGS215581"	"A"	11
"DPOGS215568"	"DPSCF300097"	"DPOGS215568"	"A"	11
"DPOGS215583"	"DPSCF300097"	"DPOGS215583"	"A"	11
"DPOGS215584"	"DPSCF300097"	"DPOGS215584"	"A"	11
"DPOGS215585"	"DPSCF300097"	"DPOGS215585"	"A"	11
"DPOGS215586"	"DPSCF300097"	"DPOGS215586"	"A"	11
"DPOGS215574"	"DPSCF300097"	"DPOGS215574"	"A"	11
"DPOGS215575"	"DPSCF300097"	"DPOGS215575"	"A"	11
"DPOGS215576"	"DPSCF300097"	"DPOGS215576"	"A"	11
"DPOGS215577"	"DPSCF300097"	"DPOGS215577"	"A"	11
"DPOGS215591"	"DPSCF300097"	"DPOGS215591"	"A"	11
"DPOGS215592"	"DPSCF300097"	"DPOGS215592"	"A"	11
"DPOGS215593"	"DPSCF300097"	"DPOGS215593"	"A"	11
"DPOGS215594"	"DPSCF300097"	"DPOGS215594"	"A"	11
"DPOGS215582"	"DPSCF300097"	"DPOGS215582"	"A"	11
"DPOGS215596"	"DPSCF300097"	"DPOGS215596"	"A"	11
"DPOGS215597"	"DPSCF300097"	"DPOGS215597"	"A"	11
"DPOGS215598"	"DPSCF300097"	"DPOGS215598"	"A"	11
"DPOGS215600"	"DPSCF300097"	"DPOGS215600"	"A"	11
"DPOGS215601"	"DPSCF300097"	"DPOGS215601"	"A"	11
"DPOGS215602"	"DPSCF300097"	"DPOGS215602"	"A"	11
"DPOGS215562"	"DPSCF300097"	"DPOGS215562"	"A"	11
"DPOGS215604"	"DPSCF300097"	"DPOGS215604"	"A"	11
"DPOGS215564"	"DPSCF300097"	"DPOGS215564"	"A"	11
"DPOGS215589"	"DPSCF300097"	"DPOGS215589"	"A"	11
"DPOGS215578"	"DPSCF300097"	"DPOGS215578"	"A"	11
"DPOGS215567"	"DPSCF300097"	"DPOGS215567"	"A"	11
"DPOGS215595"	"DPSCF300097"	"DPOGS215595"	"A"	11
"DPOGS215587"	"DPSCF300097"	"DPOGS215587"	"A"	11
"DPOGS215588"	"DPSCF300097"	"DPOGS215588"	"A"	11
"DPOGS215590"	"DPSCF300097"	"DPOGS215590"	"A"	11
"DPOGS215603"	"DPSCF300097"	"DPOGS215603"	"A"	11
